Gold (OG|GC) OGU6 (35.35 DTE) vs 4147.3 (+43.3) - Open Interest
Put: 39,310 Call: 81,660 Vol: 21.99 Vol Chg: -0.04 Future Chg: 43.3
Strike,Call,Put,Vol Settle
3370,0,8,0.3143171867294008
3375,0,19,0.3134540136772972
3380,0,4,0.31259149621064575
3385,0,19,0.31172969190387523
3390,0,21,0.3108686580953526
3395,0,18,0.31000845188738957
3400,131,550,0.30914913014622547
3405,0,41,0.30829074950204705
3410,0,3,0.30743336634897833
3415,0,27,0.30657703684507576
3420,0,12,0.30572181691233924
3425,0,3,0.3048677622367064
3430,0,6,0.30401492826805754
3435,0,5,0.3031633702201946
3440,0,34,0.3023131430708834
3445,0,23,0.30146430156180326
3450,0,125,0.3006169001985919
3455,0,5,0.2997709932508097
3460,0,77,0.2989266347519659
3465,0,44,0.2980838784995039
3470,0,7,0.29724277805480703
3475,0,36,0.29640338674318967
3480,0,959,0.29556575765391857
3485,0,58,0.2947299436401907
3490,0,15,0.2938959973191331
3495,0,28,0.2930639710718279
3500,37,1536,0.2922339170432857
3505,0,33,0.2914058871424592
3510,0,15,0.2905799330422312
3515,1,28,0.2897561061794356
3520,9,55,0.2889344577548303
3525,0,19,0.28811503873313127
3530,0,28,0.28729789984297405
3535,0,31,0.2864830915769354
3540,0,39,0.28567066419154097
3545,0,17,0.2848606677072456
3550,0,90,0.2840531519084477
3555,0,25,0.2832481663434754
3560,0,18,0.28244576032460555
3565,0,8,0.2816459829280502
3570,0,19,0.2808488829939577
3575,0,58,0.2800545091264146
3580,0,85,0.27926290969344514
3585,0,276,0.27847413282702016
3590,0,19,0.2776882264230358
3595,0,10,0.2769052381413353
3600,1,1384,0.27612521540569857
3605,0,62,0.2753482054038425
3610,0,65,0.27457425508741773
3615,0,12,0.2738034111720329
3620,0,21,0.27303572013721134
3625,0,54,0.2722712282264186
3630,0,48,0.2715099814470747
3635,0,17,0.27075202557052025
3640,0,54,0.26999740613204937
3645,0,12,0.26924616843087845
3650,45,573,0.2684983575301745
3655,0,4,0.26775401825703327
3660,0,46,0.2670131952025052
3665,0,46,0.2662759327215607
3670,0,11,0.26554227493311355
3675,0,49,0.2648122657200238
3680,0,25,0.264085948729079
3685,0,19,0.2633633673710203
3690,0,88,0.26264456482050713
3695,0,16,0.2619295840161504
3700,51,2056,0.2612184676604974
3705,0,214,0.26051125822003396
3710,0,7,0.2598079979251784
3715,0,31,0.25910872877030044
3720,0,93,0.25841349251369516
3725,0,57,0.2577223306775984
3730,0,29,0.25703528454818914
3735,0,21,0.25635239517557773
3740,0,72,0.255673703373831
3745,0,16,0.25499924972091925
3750,0,870,0.25432907455879183
3755,0,143,0.25366321799330693
3760,0,17,0.253001719894272
3765,0,112,0.2523446198954349
3770,0,30,0.25169195739447403
3775,0,125,0.2510437715530176
3780,0,63,0.25040010129661594
3785,18,30,0.2497609853147802
3790,0,23,0.24912646206093436
3795,0,94,0.2484965697524646
3800,1,1385,0.24787134637067432
3805,0,8,0.2472508296608238
3810,0,50,0.24663505713209677
3815,0,9,0.24602406605761917
3820,0,86,0.24541789347447418
3825,0,80,0.2448165761836414
3830,0,64,0.2442201507500883
3835,0,9,0.24362865350268148
3840,0,151,0.24304212053424745
3845,0,178,0.24246058770154066
3850,1,1075,0.24188409062526395
3855,0,7,0.24131266469004808
3860,0,32,0.24074634504446557
3865,0,23,0.24018516660103462
3870,0,15,0.23962916403619428
3875,1,218,0.23907837179035019
3880,0,36,0.23853282406780663
3885,0,23,0.2379925548368491
3890,9,15,0.23745759782967069
3895,0,48,0.23692798654241898
3900,6,1854,0.23640375423517046
3905,0,23,0.23588493393194243
3910,0,42,0.2353715584206979
3915,0,19,0.23486366025332517
3920,16,31,0.234361271745664
3925,10,63,0.23386442497748172
3930,0,43,0.23337315179249174
3935,0,112,0.23288748379834212
