Gold (OG|GC) G1MN6 (3.49 DTE) vs 4190.4 (+64.7) - Open Interest
Put: 2,447 Call: 3,105 Vol: 18.70 Vol Chg: -0.03 Future Chg: 64.7
Strike,Call,Put,Vol Settle
3970,0,4,0.23650940555933175
3975,1,67,0.23432761170772665
3980,0,16,0.2321631202695471
3985,2,0,0.23001843323140747
3990,0,2,0.22789601568865692
3995,0,5,0.22579829584208255
4000,41,453,0.22372766500006946
4005,0,16,0.22168647758178395
4010,0,4,0.21967705111103442
4015,0,5,0.21770166621990938
4020,1,14,0.2157625666485501
4025,9,11,0.2138619592443547
4030,9,13,0.21200201396459306
4035,4,18,0.210184863870154
4040,5,4,0.2084126051321391
4045,1,6,0.20668729702924793
4050,50,76,0.2050109619478917
4055,1,22,0.20338558538196594
4060,63,7,0.20181311593137252
4065,4,44,0.2002954653062261
4070,4,3,0.19883450832287508
4075,56,45,0.19743208290572056
4080,9,14,0.19608999008573846
4085,12,19,0.19480999400525434
4090,19,28,0.19359382190907581
4095,0,1,0.19244316415256435
4100,187,256,0.19135967419913413
4105,4,4,0.19034496861877415
4110,23,16,0.1894006270886166
4115,3,53,0.18852819239532437
4120,18,23,0.18772917043202142
4125,49,12,0.18700503019920234
4130,52,26,0.18635720380552812
4135,7,13,0.18578708646691666
4140,18,5,0.1852960365083618
4145,11,0,0.1848853753608637
4150,159,17,0.1845563875630205
4155,5,1,0.1843103207625063
4160,59,2,0.18414838571288783
4165,33,1,0.18407175627748984
4170,14,0,0.1840815694260982
4175,52,1,0.1841789252360968
4180,14,0,0.18436488689121688
4185,2,0,0.1846404806864257
4190,34,0,0.18500669602076414
4195,20,1,0.18546448540348592
4200,426,91,0.1860147644498511
4205,7,0,0.1866584118828314
4210,2,14,0.18739626953492916
4215,6,0,0.18822914234226573
4220,7,0,0.1891577983544721
4225,117,8,0.19018296872468454
4230,14,1,0.19130534771443308
4235,10,0,0.19252559269227731
4240,4,0,0.19384432413596642
4245,21,0,0.19526212563107492
4250,485,2,0.19677954386804686
4255,1,2,0.19839708864958538
4260,3,14,0.20011523288155786
4265,0,0,0.2019344125800444
4270,6,0,0.20385502686758628
4275,169,102,0.20587743797557323
4280,8,0,0.2080019712423109
4285,6,0,0.2102289151129071
4290,7,0,0.21255852114211393
4295,1,0,0.21499100399171311
4300,73,1,0.2175265414292653
4305,0,0,0.2201652743320892
4310,0,0,0.222907306684192
4315,0,0,0.22575270557808835
4320,2,0,0.2287015012137772
4325,18,0,0.23175368689771858
4330,2,0,0.23490921904567585
4335,0,0,0
4340,1,0,0
4345,0,0,0
4350,263,2,0
4355,0,0,0
4360,6,0,0
4365,4,0,0
4370,1,0,0
4375,38,0,0
4380,0,0,0
4385,1,0,0
4390,0,0,0
4395,0,0,0
4400,67,0,0
4405,0,0,0
4410,0,0,0
4415,0,0,0
4420,15,0,0
4425,21,0,0
