10 Yr (TY|TY) TYV6 (24.57 DTE) vs 107.185 (-0.025) - Open Interest
Put: 731,097 Call: 676,201 Vol: 4.68 Vol Chg: -0.04 Future Chg: -0.025
Strike,Call,Put,Vol Settle
103.75,0,0,0.0713779884640644
104,101,6155,0.06856300298909446
104.25,1,665,0.06592856228417077
104.5,3032,8277,0.06346809993124225
104.75,0,1,0.06117592759119361
105,288,18179,0.05904723500793807
105.25,50,607,0.057078090002050885
105.5,523,10782,0.055265438471224115
105.75,29,2671,0.0536071044007258
106,1181,34556,0.05210178984430058
106.25,81,5190,0.05074907494622494
106.5,2153,53643,0.0495494179212983
106.75,169,15247,0.04850415506916761
107,2584,113614,0.04761550076909771
107.25,85,39238,0.04688654747633336
107.5,7879,92364,0.046321265729147854
107.75,8245,34522,0.04592450414179439
108,64477,74524,0.04570198941337367
108.25,17830,22803,0.04566032631623784
108.5,78515,77136,0.04580699770690444
108.75,9996,3428,0.04615036451855303
109,79810,40737,0.04669966576739171
109.25,15293,795,0.0474650185453811
109.5,82813,8344,0.0484574180245545
109.75,22650,66,0.049688737460428456
110,91089,11936,0.05117172818177096
110.25,1878,52,0.052920019601970125
110.5,66437,254,0.05494811921357723
110.75,2653,3,0.05727141258512347
111,44173,115,0.05990616336748644
111.25,416,549,0.06286951329002477
111.5,22022,2249,0.06617948216353398
