10 Yr Ultra (OTN|TN) OTNU6 (16.13 DTE) vs 110.26 (+0.03) - Open Interest
Put: 21,459 Call: 12,582 Vol: 5.85 Vol Chg: 0.09 Future Chg: 0.03
Strike,Call,Put,Vol Settle
107,0,546,0.08310591109875531
107.25,0,0,0.0813947721671866
107.5,0,3000,0.07946601520416152
107.75,0,0,0.0773795631575922
108,0,8000,0.07519170474188286
108.25,0,0,0.07295509448613302
108.5,4,0,0.07071875266683492
108.75,0,0,0.06852806536244316
109,10,51,0.06642478442154243
109.25,0,0,0.06444702748012787
109.5,2,145,0.0626292779461437
109.75,250,250,0.061002385005849646
110,463,1685,0.05959356363200641
110.25,70,0,0.0584263945947896
110.5,600,1866,0.05752082440449158
110.75,0,0,0.056893165387919
111,2131,2189,0.0565560956392801
111.25,0,1,0.05651865902655118
111.5,439,1001,0.056786265202390496
111.75,0,0,0.057360689617780736
112,1000,43,0.05824007347018778
112.25,300,0,0.05941892377450131
112.5,1416,0,0.060888113292094204
112.75,0,0,0.06263488058175426
113,2507,0,0.06464282997603732
113.25,0,0,0.0668919316103711
113.5,0,0,0.06935852137030452
113.75,0,0,0.0720153009351634
114,1389,0,0.0748313377634986
114.25,0,0,0.07777206510399992
114.5,0,0,0.08079928196184483
114.75,0,0,0.0838711531350782
