2 Yr (TU|TU) TUU6 (16.13 DTE) vs 103.00125 (+0.00375) - Open Interest
Put: 233,514 Call: 322,804 Vol: 1.60 Vol Chg: -0.04 Future Chg: 0.00375
Strike,Call,Put,Vol Settle
102,4,2758,0.024816855788230896
102.125,0,20125,0.022359924507327378
102.25,621,13343,0.020562859950587153
102.375,124,25452,0.01925700472202152
102.5,2188,31385,0.018304215278476477
102.625,1826,36344,0.01759686355944723
102.75,2662,49451,0.017057835939340293
102.875,13336,22290,0.016640531714074314
103,15672,9584,0.016328868456184864
103.125,22860,6754,0.01613727491348982
103.25,24753,4695,0.016110696946270764
103.375,51991,1090,0.016324593452736735
103.5,54433,649,0.016884938115254045
103.625,26004,1693,0.01792822126299143
103.75,36522,1286,0.019621444400399923
103.875,21379,5,0
104,31124,25,0
