30 Yr Ultra (UL|UL) ULU6 (16.13 DTE) vs 111.19 (+0.14) - Open Interest
Put: 10,495 Call: 5,998 Vol: 10.55 Vol Chg: 0.01 Future Chg: 0.14
Strike,Call,Put,Vol Settle
104.5,0,0,0.15633000894565896
105,0,3,0.15277328996057804
105.5,0,0,0.14902233599912051
106,0,0,0.14511825925524136
106.5,0,0,0.14110376275414183
107,1,188,0.13702314035140262
107.5,0,10,0.13292227673380808
108,1,143,0.12884864741903357
108.5,0,50,0.1248513187554181
109,0,506,0.12098094792213487
109.5,0,200,0.11728978292958914
110,0,6001,0.11383166261856559
110.5,25,1407,0.11066201666110942
111,346,379,0.10783786555998631
111.5,310,1,0.10541782064854033
112,217,452,0.1034620840916034
112.5,25,0,0.10203244888430163
113,482,73,0.10119229885279424
113.5,30,0,0.10100660865421673
114,635,218,0.10154194377642511
114.5,0,0,0.10286646053833692
115,411,287,0.10504990608947651
115.5,0,0,0.1081636184103445
116,206,28,0.1122805263124178
116.5,0,0,0.11747514943795068
117,158,40,0.12382359825988942
117.5,0,0,0.13140357408232717
118,314,1,0.14029436904007753
118.5,0,0,0
119,500,0,0
