30 Yr (US|US) USV6 (24.57 DTE) vs 108.11 (-0.09) - Open Interest
Put: 213,957 Call: 294,070 Vol: 9.45 Vol Chg: 0.00 Future Chg: -0.09
Strike,Call,Put,Vol Settle
101,0,1598,0
101.5,0,99,0.12961489446536234
102,0,5339,0.12482558692698831
102.5,0,313,0.12050877289550499
103,57,6097,0.1166189324461584
103.5,27,123,0.11311513098394244
104,11,10810,0.10996101924229151
104.5,26,822,0.10712483328262579
105,87,22673,0.10457939449497644
105.5,1,1820,0.10230210959781516
106,631,21796,0.10027497063924784
106.5,2,5650,0.09848455499360398
107,1286,32041,0.09692202536587047
107.5,39,4470,0.09558312978890626
108,9027,39305,0.09446820162321501
108.5,1124,2808,0.09358215955887772
109,13719,18342,0.09293450761424538
109.5,2401,3354,0.0925393351357684
110,62188,15099,0.0924153167983377
110.5,6628,237,0.09258571260562576
111,28277,4228,0.09307836789031398
111.5,4010,59,0.09392571331312638
112,69750,1313,0.0951647648623748
112.5,3460,4,0.09683712385674426
113,40810,279,0.09898897694216657
113.5,1716,29,0.10167109609301406
114,22670,48,0.10493883861249742
114.5,206,4,0.10885214713232472
115,8719,220,0.11347554961298556
115.5,110,5,0.11887815934323953
116,3981,24,0.12513367493966143
116.5,105,0,0.13232038034811922
