30 Yr (US|US) USU6 (17.79 DTE) vs 109.02 (-0.01) - Open Interest
Put: 340,219 Call: 374,638 Vol: 10.46 Vol Chg: -0.09 Future Chg: -0.01
Strike,Call,Put,Vol Settle
102,26,2560,0.15318677865025165
102.5,8,873,0.14877975964463985
103,27,13803,0.14457024314424416
103.5,11,648,0.14052531298307258
104,55,15873,0.13661921169364177
104.5,4,2421,0.13283334050754547
105,316,10956,0.12915625935772823
105.5,33,1348,0.12558368687496113
106,490,25838,0.12211850039250294
106.5,59,39875,0.11877073594064314
107,778,29175,0.11555758825136309
107.5,255,3627,0.11250341075367487
108,1180,28087,0.1096397155812383
108.5,1338,29487,0.10700517356247019
109,6633,19200,0.10464561422759289
109.5,6507,5347,0.10261402580761114
110,11336,20481,0.10097055523067411
110.5,11268,5354,0.09978250812821443
111,38103,22545,0.09912434882789967
111.5,3630,51,0.09907770035886188
112,69142,12527,0.09973134445044707
112.5,11218,35,0.10118122153005515
113,37153,7026,0.10353043072689161
113.5,1149,28,0.10688922986810212
114,15000,5717,0.1113750354821832
114.5,2155,39,0.11711242279693579
115,34652,2751,0.12423312573821477
115.5,302,2,0.13287603693390793
116,10768,2573,0.14318720771086646
116.5,111,1,0
