3M SOFR (SR3|SR3) SR3U6 (37.13 DTE) vs 96.15 (+0.005) - Open Interest
Put: 3,673,295 Call: 6,360,947 Vol: 48.73 Vol Chg: -1.64 Future Chg: 0.005
Strike,Call,Put,Vol Settle
95.6875,1000,34554,0
95.75,2674,172756,0
95.8125,0,139460,0
95.875,41376,233005,0.673828125
95.9375,29884,153752,0.5830078125
96,62677,369323,0.55078125
96.0625,84584,198910,0.521484375
96.125,132484,211349,0.5205078125
96.1875,273874,190313,0.4921875
96.25,422856,264212,0.474609375
96.3125,420341,194542,0.470703125
96.375,438132,219031,0.5458984375
96.4375,318321,193166,0
96.5,343148,126052,0
96.5625,248217,140070,0
