5 Yr (FV|FV) FVV6 (24.57 DTE) vs 105.2025 (-0.0225) - Open Interest
Put: 346,262 Call: 252,617 Vol: 3.37 Vol Chg: 0.03 Future Chg: -0.0225
Strike,Call,Put,Vol Settle
103,0,936,0.05174590965543757
103.25,2,422,0.04770521293539787
103.5,51,3118,0.04443652348345495
103.75,0,1482,0.0418052675522631
104,95,9590,0.039693222832283936
104.25,25,6265,0.03799851834992296
104.5,197,8927,0.036635634569393005
104.75,77,16860,0.03553540332359262
105,159,33377,0.03464500786867575
105.25,387,39327,0.033927982822206104
105.5,1260,68768,0.03336421423955471
105.75,5918,33268,0.03294993950839853
106,8327,65481,0.03269774750151555
106.25,21036,26589,0.03263657839852385
106.5,22474,17396,0.032811723845952656
106.75,33276,6426,0.03328482681172318
107,38217,1644,0.034133881719753845
107.25,17538,2581,0.035453234377200715
107.5,44396,275,0.03735358195262961
107.75,17206,103,0.039961973066965584
108,19132,170,0
108.25,5437,29,0
