5 Yr (FV|FV) FVU6 (17.79 DTE) vs 106.075 (+0.0025) - Open Interest
Put: 557,977 Call: 358,561 Vol: 3.68 Vol Chg: -0.03 Future Chg: 0.0025
Strike,Call,Put,Vol Settle
103.75,25,2110,0.056681862253753934
104,25,2724,0.05262052928446792
104.25,114,3710,0.04941447292367229
104.5,151,93041,0.04685888403764693
104.75,2004,21570,0.04478151105286088
105,597,63750,0.043042659941420425
105.25,374,26699,0.041535194155585486
105.5,556,20210,0.0401845347660128
105.75,576,26835,0.03894866020709742
106,17726,76007,0.03781810660439078
106.25,24255,32836,0.03681596751266625
106.5,30371,30908,0.03599789407599019
106.75,25455,27078,0.035452094933134504
107,55378,34623,0.03529933623212855
107.25,20099,11298,0.035692941695742775
107.5,29627,9188,0.036818792519625276
107.75,22892,746,0.03889532747416524
108,38823,1674,0.04217354279535357
108.25,10818,3936,0.04693699236668181
108.5,34913,3163,0
108.75,6234,2900,0
