AUD/USD (ADU|6A) ADUV6 (38.30 DTE) vs 0.7153 (+0.00015) - Open Interest
Put: 6,774 Call: 8,121 Vol: 7.15 Vol Chg: 0.02 Future Chg: 0.00015
Strike,Call,Put,Vol Settle
0.67,0,47,0.10075991496651682
0.675,0,126,0.0950022308053633
0.68,6,420,0.0900161348735935
0.685,6,262,0.08572146183522023
0.69,7,454,0.08205034351396989
0.695,241,968,0.0789472088941352
0.7,13,2614,0.07636878411847192
0.705,232,748,0.0742840924900463
0.71,212,174,0.07267445447178034
0.715,1251,321,0.07153348768656542
0.72,2163,30,0.07086710691672238
0.725,3011,0,0.07069352410445617
0.73,249,0,0.07104324835111697
0.735,326,0,0.07195908591896227
0.74,54,0,0.07349614022862738
0.745,11,0,0.07572181186182547
0.75,24,0,0.07871579855935806
0.755,1,0,0.08257009522139924
0.76,8,0,0
0.765,4,0,0
