AUD/USD (ADU|6A) ADUU6 (34.18 DTE) vs 0.7032 (+0) - Open Interest
Put: 4,926 Call: 7,508 Vol: 7.26 Vol Chg: 0.11 Future Chg: 0
Strike,Call,Put,Vol Settle
0.66,0,180,0.10801518241417085
0.665,1,147,0.1017475095845235
0.67,34,222,0.09609487827790986
0.675,2,207,0.09104098621518375
0.68,3,382,0.08657122889623636
0.685,32,144,0.08267269959970491
0.69,155,445,0.07933418938328529
0.695,109,379,0.07654618708347982
0.7,1341,768,0.07430087931577845
0.705,827,979,0.07259215047445977
0.71,612,59,0.07141558273281134
0.715,253,120,0.0707684560430124
0.72,1103,20,0.07064974813619074
0.725,330,25,0.07106013452232673
0.73,1039,0,0.07200198849022854
0.735,37,0,0.07347938110778784
0.74,151,10,0
0.745,44,0,0
0.75,948,5,0
