Bitcoin (BTC|BTC) BTCU6 (24.42 DTE) vs 79035 (-210) - Open Interest
Put: 298 Call: 517 Vol: 35.64 Vol Chg: -0.02 Future Chg: -210
Strike,Call,Put,Vol Settle
60000,0,9,0.6021429489635219
60250,0,0,0.5961384240217251
60500,0,5,0.5902028244837749
60750,0,0,0.5843365605868633
61000,0,0,0.5785400314143438
61250,0,1,0.5728136248957414
61500,0,0,0.5671577178067491
61750,0,0,0.561572675769227
62000,0,2,0.5560588532512034
62250,0,1,0.5506165935668754
62500,0,0,0.5452462288766078
62750,0,1,0.5399480801869274
63000,0,8,0.5347224573505436
63250,0,0,0.5295696590663188
63500,0,8,0.5244899728792891
63750,1,0,0.5194836751806604
64000,0,8,0.5145510312078052
64250,0,0,0.5096922950442648
64500,1,0,0.5049077096197458
64750,0,0,0.5001975067101241
65000,8,2,0.4955619069374455
65250,0,0,0.49100111976992
65500,0,1,0.48651534352192893
65750,0,0,0.482104765354022
66000,0,1,0.47776956127291514
66250,1,0,0.47350989613149164
66500,0,0,0.4693259236288032
66750,0,1,0.4652177863100704
67000,6,2,0.46118561556668114
67250,0,2,0.45722953163619273
67500,6,0,0.45334964360232766
67750,0,0,0.44954604939498166
68000,8,0,0.44581883579021087
68250,0,3,0.44216807841024464
68500,0,0,0.43859384172348026
68750,0,0,0.4350961790444807
69000,10,1,0.43167513253397916
69250,2,0,0.4283307331988748
69500,10,1,0.4250630008922367
69750,2,0,0.42187194431330166
70000,1,16,0.4187575610074705
70250,0,0,0.4157198373663178
70500,0,2,0.41275874862758455
70750,0,0,0.4098742588751758
71000,5,0,0.40706632103917073
71250,0,0,0.4043348768958097
71500,0,0,0.4016798570675095
71750,0,0,0.39910118102284864
72000,1,1,0.3965987570765712
72250,0,0,0.39417248238959823
72500,2,1,0.39182224296901236
72750,0,0,0.3895479136680646
73000,0,1,0.387349358186174
73250,0,1,0.3852264290689309
73500,0,1,0.38317896770809323
73750,0,0,0.38120680434157794
74000,26,1,0.3793097580534832
74250,0,0,0.3774876367740685
74500,10,0,0.3757402372797598
74750,0,0,0.374067345193152
75000,54,1,0.37246873498301225
75250,0,0,0.37094416996426904
75500,0,0,0.3694934022980272
75750,0,0,0.3681161729915505
76000,5,3,0.36681221189827573
76250,0,0,0.36558123771780515
76500,0,0,0.36442295799591573
76750,0,0,0.3633370691245439
77000,2,0,0.3623232563417993
77250,2,5,0.36138119373195465
77500,0,0,0.36051054422545636
77750,0,0,0.35971095959891386
78000,7,5,0.3589820804751094
78250,11,2,0.35832353632299174
78500,0,0,0.35773494545767726
78750,0,0,0.3572159150404426
79000,0,0,0.3567660410787479
79250,0,0,0.3563849084262065
79500,0,2,0.3560720907826118
79750,0,0,0.35582715069391746
80000,88,0,0.3556496395522508
80250,1,0,0.3555390975958943
80500,0,0,0.35549505390932
80750,0,0,0.35551702642314087
81000,0,0,0.3556045219141666
81250,0,0,0.355757036005353
81500,0,0,0.35597405316583863
81750,0,0,0.35625504671091424
82000,32,2,0.35659947880205234
82250,0,0,0.35700680044688937
82500,11,0,0.3574764514992248
82750,11,0,0.358007860659038
83000,0,0,0.35860044547246606
83250,0,0,0.35925361233180997
83500,0,0,0.3599667564755533
83750,0,0,0.36073926198833384
84000,0,0,0.36157050180097006
84250,0,0,0.3624598376904329
84500,1,0,0.36340662027988024
84750,1,0,0.3644101890386189
85000,2,0,0.36546987228213723
85250,16,0,0.3665849871720841
85500,5,0,0.3677548397162873
85750,5,0,0.3689787247687262
86000,2,0,0.37025592602955193
86250,1,0,0.3715857160450984
86500,4,0,0.3729673562078517
86750,0,0,0.37440009675647623
87000,2,0,0.37588317677579397
87250,0,0,0.3774158241968024
87500,0,0,0.37899725579666566
87750,0,0,0.380626677198717
88000,1,0,0.3823032828724511
88250,0,0,0.3840262561335397
88500,2,0,0.3857947691438186
88750,0,0,0.38760798291129017
89000,0,0,0.3894650472901251
89250,5,0,0.3913651009806607
89500,0,0,0.3933072715294097
89750,0,0,0.3952906753290444
90000,77,1,0.39731441761841335
90250,0,0,0.3993775924825158
90500,0,0,0.40147928285254686
90750,0,0,0.40361856050584244
91000,11,0,0.4057944860659166
91250,0,0,0.40800610900246603
91500,0,0,0.4102524676313326
91750,0,0,0.4125325891145408
92000,15,0,0.4148454894602729
92250,0,0,0.4171901735228811
92500,1,0,0.4195656350028951
92750,0,0,0.4219708564470075
93000,2,0,0.4244048092480739
93500,0,0,0.4293547387233474
94000,0,0,0.43440697149496366
94500,0,0,0.43955287716783076
95000,0,0,0.4447836468855684
95500,0,4,0.4500902933304758
96000,0,0,0.4554636507235301
96500,0,1,0.46089437482441475
97000,0,0,0.466372942931482
97500,4,3,0.4718896538817976
98000,0,0,0.4774346280510944
98500,0,0,0.4829978073537884
99000,0,0,0.48856895524300725
99500,0,0,0.494137656710544
100000,4,1,0.499693318286889
100500,0,0,0.5052251680412212
101000,0,0,0.5107222555814062
101500,0,0,0.5161734520539927
102000,0,0,0.5215674501442358
102500,0,0,0.5268927640760417
103000,0,0,0.5321377296120477
103500,0,0,0.5372905040535567
