Brent Crude Oil (BE|BZ) BEV6 (20.12 DTE) vs 79.25 (-0.11) - Open Interest
Put: 0 Call: 0 Vol: 25.00 Vol Chg: 25.00 Future Chg: -0.11
Strike,Call,Put,Vol Settle
66.5,0,0,0
67,0,0,0
67.5,0,0,0
68,0,0,0
68.5,0,0,0
69,0,0,0
69.5,0,0,0
70,0,0,0
70.5,0,0,0
71,0,0,0
71.5,0,0,0
72,0,0,0
72.5,0,0,0
73,0,0,0
73.5,0,0,0
74,0,0,0
74.5,0,0,0
75,0,0,0
75.5,0,0,0
76,0,0,0
76.5,0,0,0
77,0,0,0
77.5,0,0,0
78,0,0,0
78.5,0,0,0
79,0,0,0
79.5,0,0,0
80,0,0,0
80.5,0,0,0
81,0,0,0
81.5,0,0,0
82,0,0,0
82.5,0,0,0
83,0,0,0
83.5,0,0,0
84,0,0,0
84.5,0,0,0
85,0,0,0
85.5,0,0,0
86,0,0,0
86.5,0,0,0
87,0,0,0
87.5,0,0,0
88,0,0,0
88.5,0,0,0
89,0,0,0
89.5,0,0,0
90,0,0,0
90.5,0,0,0
91,0,0,0
91.5,0,0,0
92,0,0,0
92.5,0,0,0
93,0,0,0
93.5,0,0,0
94,0,0,0
