Brent FSM (BZO|BZ) BZOX6 (24.56 DTE) vs 91.48 (+0.99) - Open Interest
Put: 28,175 Call: 13,875 Vol: 43.52 Vol Chg: 0.15 Future Chg: 0.99
Strike,Call,Put,Vol Settle
65,0,1050,0
65.5,0,0,0
66,0,0,0
66.5,0,0,0
67,0,0,0
67.5,0,0,0
68,0,0,0
68.5,0,0,0
69,0,0,0
69.5,0,0,0
70,0,7050,0.5045655136100944
70.5,0,0,0.5018851097821084
71,0,0,0.499124391307336
71.5,0,0,0.4962969502092909
72,0,300,0.4934159880165421
72.5,0,0,0.49049431576269953
73,0,500,0.48754435398640705
73.5,0,300,0.4845781327313663
74,0,0,0.48160729154631277
74.5,0,0,0.47864307948505846
75,0,2900,0.47569635510641817
75.5,0,0,0.4727775864742707
76,0,0,0.4698968511575572
76.5,0,350,0.46706383623022063
77,0,1550,0.46428783827130715
77.5,0,0,0.4615777633648719
78,0,600,0.45894212710000915
78.5,0,0,0.4563890545708862
79,200,300,0.45392628037669347
79.5,0,0,0.4515611486216695
80,0,2050,0.4493006129151045
80.5,0,0,0.44715123637134546
81,300,0,0.4451191916097681
81.5,0,0,0.44321026075478365
82,0,1000,0.4414298354358781
82.5,600,250,0.4397829167875731
83,0,100,0.4382741154493992
83.5,0,275,0.43690765156599554
84,0,150,0.4356873547869906
84.5,0,200,0.43461666426710366
85,1450,500,0.43369862866607
85.5,0,0,0.43293590614865884
86,225,225,0.4323307643847478
86.5,0,0,0.43188508054917385
87,650,125,0.43160034132189296
87.5,550,0,0.43147764288784707
88,0,150,0.43151769093707415
88.5,0,0,0.43172080066463003
89,175,0,0.4320868967706133
89.5,0,0,0.4326155134601848
90,1800,0,0.43330579444355166
90.5,0,0,0.4341564929359336
91,50,50,0.43516597165762505
91.5,350,0,0.43633220283398444
92,575,0,0.43765276819537036
92.5,300,0,0.4391248589771912
93,200,0,0.4407452759199515
93.5,0,0,0.4425104292691593
94,200,0,0.44441633877535835
94.5,450,0,0.4464586336941636
95,500,0,0.44863255278622916
95.5,0,0,0.45093294431725184
96,400,0,0.45335426605797835
96.5,400,0,0.45589058528418747
97,0,0,0.4585355787767291
97.5,650,0,0.46128253282147114
98,0,0,0.4641243432093276
98.5,0,0,0.467053515236298
99,0,0,0.4700621637033713
99.5,0,0,0.47314201291664304
100,1350,0,0.4762843966871415
100.5,175,0,0.4794802583311153
101,125,0,0.4827201506697243
101.5,0,0,0.4859942360291747
102,100,0,0.4892922862407971
102.5,0,0,0.4926036826409117
103,75,0,0.49591741607092743
103.5,0,0,0.49922208687720016
104,75,0,0.502505904911267
104.5,0,0,0.505756689529619
105,500,0,0.5089618695937865
105.5,0,0,0.5121084834704135
106,0,0,0.515183179031169
106.5,0,0,0.5181722136527185
107,0,0,0.5210614542167988
107.5,0,0,0.5238363771102001
108,0,0,0.5264820682247873
108.5,0,0,0.5289832229574003
109,0,0,0.5313241462099683
109.5,0,0,0.5334887523895162
110,950,0,0.5354605654079876
110.5,0,0,0
111,0,0,0
111.5,0,0,0
112,0,0,0
112.5,0,0,0
113,0,0,0
113.5,0,0,0
114,0,0,0
114.5,0,0,0
115,0,0,0
115.5,0,0,0
116,0,0,0
116.5,0,0,0
117,0,0,0
117.5,0,0,0
118,0,0,0
118.5,0,0,0
119,0,0,0
119.5,0,0,0
120,0,0,0
120.5,0,0,0
121,0,0,0
121.5,0,0,0
122,0,0,0
122.5,0,0,0
123,0,0,0
123.5,0,0,0
124,0,0,0
124.5,0,0,0
125,0,0,0
125.5,0,0,0
126,0,0,0
126.5,0,0,0
127,0,0,0
127.5,0,0,0
