Brent FSM (BZO|BZ) BZOV6 (24.38 DTE) vs 87.93 (+0) - Open Interest
Put: 35,000 Call: 28,990 Vol: 66.84 Vol Chg: -0.21 Future Chg: 0
Strike,Call,Put,Vol Settle
52,0,0,0
52.5,0,0,0
53,0,0,0
53.5,0,0,0
54,0,0,0
54.5,0,0,0
55,0,1000,0
55.5,0,0,0
56,0,0,0
56.5,0,0,0
57,0,0,0
57.5,0,0,0
58,0,0,0
58.5,0,0,0
59,0,0,0
59.5,0,0,0
60,0,2000,0
60.5,0,0,0
61,0,0,0
61.5,0,0,0
62,0,0,0
62.5,0,0,0
63,0,0,0
63.5,0,0,0
64,0,0,0
64.5,0,0,0
65,0,11750,0.6304961472941475
65.5,0,0,0.6221069661289045
66,0,375,0.6144055224613831
66.5,0,0,0.6073685379670026
67,0,0,0.6009730809487159
67.5,0,600,0.5951965663369814
68,0,1400,0.5900167556897911
68.5,0,0,0.5854117571926558
69,0,0,0.5813600256586007
69.5,0,0,0.5778403625282014
70,0,1050,0.574831915869523
70.5,0,0,0.572314180378175
71,0,1000,0.5702669973772876
71.5,0,0,0.5686705548175066
72,0,350,0.5675053872770057
72.5,100,100,0.5667523759614719
73,450,750,0.5663927487041516
73.5,0,0,0.5664080799657567
74,1750,975,0.5667802908345667
74.5,0,0,0.5674916490263673
75,3200,1050,0.5685247688844832
75.5,400,0,0.5698626113797411
76,1000,150,0.5714884841104828
76.5,0,300,0.5733860413026024
77,0,0,0.5755392838095101
77.5,0,0,0.5779325591121456
78,500,0,0.5805505613189208
78.5,0,0,0.5833783311658323
79,975,500,0.5864012560163783
79.5,0,0,0.5896050698615802
80,1500,10400,0.5929758533199632
80.5,0,0,0.5965000336376072
81,0,100,0.6001643846881137
81.5,0,300,0.6039560269725559
82,1250,0,0.6078624276196134
82.5,0,0,0.6118714003854269
83,450,0,0.6159711056536779
83.5,0,0,0.6201500504355657
84,0,300,0.6243970883698218
84.5,0,0,0.6287014197227059
85,3450,0,0.6330525913879619
85.5,150,0,0.6374404968869243
86,0,0,0.6418553763683867
86.5,0,0,0.6462878166087211
87,350,0,0.650728751011755
87.5,450,0,0.6551694596089082
88,0,300,0.6596015690590828
88.5,0,0,0.6640170526487399
89,500,0,0.6684082302918029
89.5,0,0,0.6727677685297309
90,3940,250,0.6770886805315985
90.5,0,0,0.6813643260938829
91,0,0,0.6855884116406674
91.5,250,0,0.6897549902234914
92,0,0,0.6938584615214687
92.5,0,0,0.6978935718412309
93,300,0,0.7018554141169098
93.5,0,0,0.7057394279101921
94,0,0,0.7095413994102415
94.5,0,0,0.7132574614337841
95,200,0,0.716884093425044
95.5,0,0,0.7204181214557828
96,500,0,0.7238567182252922
96.5,0,0,0.7271974030603978
97,300,0,0.7304380419153809
97.5,0,0,0.7335768473721274
98,0,0,0.7366123786399861
98.5,0,0,0.7395435415558822
99,0,0,0.7423695885842214
99.5,0,0,0.7450901188169645
100,4125,0,0.7477050779735528
100.5,0,0,0.7502147584010146
101,0,0,0.7526197990737948
101.5,0,0,0.7549211855940072
102,0,0,0.75712025019115
102.5,0,0,0.7592186717223619
103,0,0,0.7612184756722051
103.5,0,0,0.7631220341528362
104,0,0,0.7649320659039134
104.5,0,0,0.766651636292579
105,800,0,0.7682841573135306
105.5,0,0,0.7698333875890171
106,0,0,0.7713034323687538
106.5,0,0,0.772698743530043
107,600,0,0.7740241195776427
107.5,0,0,0.7752847056438945
108,0,0,0.7764859934886204
108.5,0,0,0.7776338214991938
109,0,0,0.7787343746904725
109.5,0,0,0.7797941847048904
110,1000,0,0.7808201298123691
110.5,0,0,0.7818194349103109
111,0,0,0.7827996715237688
111.5,0,0,0.783768757805241
112,0,0,0.7847349585346706
112.5,0,0,0.7857068851196587
113,0,0,0.7866934955953013
113.5,0,0,0.7877040946240896
114,0,0,0.7887483334962511
114.5,0,0,0.7898362101293515
115,0,0,0.7909780690686219
115.5,0,0,0.7921846014866389
116,0,0,0.7934668451837013
116.5,0,0,0.7948361845874814
117,0,0,0.7963043507532745
117.5,0,0,0.7978834213637924
118,0,0,0.7995858207294404
118.5,0,0,0.801424319787948
119,0,0,0.8034120361046746
119.5,0,0,0.8055624338725167
120,500,0,0.807889323911887
120.5,0,0,0
121,0,0,0
121.5,0,0,0
122,0,0,0
122.5,0,0,0
123,0,0,0
123.5,0,0,0
124,0,0,0
124.5,0,0,0
125,0,0,0
125.5,0,0,0
126,0,0,0
126.5,0,0,0
127,0,0,0
127.5,0,0,0
128,0,0,0
128.5,0,0,0
129,0,0,0
129.5,0,0,0
130,0,0,0
130.5,0,0,0
131,0,0,0
131.5,0,0,0
132,0,0,0
132.5,0,0,0
133,0,0,0
133.5,0,0,0
134,0,0,0
134.5,0,0,0
135,0,0,0
135.5,0,0,0
136,0,0,0
136.5,0,0,0
137,0,0,0
137.5,0,0,0
138,0,0,0
138.5,0,0,0
139,0,0,0
139.5,0,0,0
140,0,0,0
140.5,0,0,0
141,0,0,0
141.5,0,0,0
142,0,0,0
142.5,0,0,0
143,0,0,0
143.5,0,0,0
144,0,0,0
144.5,0,0,0
145,0,0,0
