CAD/USD (CAU|6C) CAUV6 (38.30 DTE) vs 0.7247 (-0.0006) - Open Interest
Put: 3,179 Call: 2,989 Vol: 4.45 Vol Chg: 0.03 Future Chg: -0.0006
Strike,Call,Put,Vol Settle
0.695,0,46,0
0.7,0,242,0.05792933451220961
0.705,0,200,0.05408638950893874
0.71,278,736,0.0504673155232922
0.715,744,209,0.04748978733732656
0.72,29,950,0.045450598485331284
0.725,172,60,0.04452566126883539
0.73,62,28,0.044770006743874546
0.735,421,1,0.046117784723264776
0.74,92,7,0.04838226378615218
0.745,53,160,0.05125583126073252
0.75,8,0,0.05430999325153607
0.755,20,0,0
