CAD/USD (CAU|6C) CAUU6 (34.18 DTE) vs 0.71465 (+0) - Open Interest
Put: 6,040 Call: 17,557 Vol: 4.08 Vol Chg: 0.03 Future Chg: 0
Strike,Call,Put,Vol Settle
0.69,2500,34,0.06178761704859426
0.695,0,106,0.05492022659882423
0.7,52,300,0.049479179449917865
0.705,63,423,0.04533757282069928
0.71,159,1155,0.04243670369396568
0.715,606,261,0.040786068823763344
0.72,2634,1292,0.04046336473015799
0.725,1741,552,0.04161448769968956
0.73,2991,410,0.044453533784917454
0.735,2791,86,0.04926279880783113
0.74,259,92,0.05639277835280154
