CHF/USD (CHU|6S) CHUV6 (38.30 DTE) vs 1.2496 (-0.0024) - Open Interest
Put: 3,086 Call: 2,000 Vol: 6.89 Vol Chg: 0.04 Future Chg: -0.0024
Strike,Call,Put,Vol Settle
1.17,0,1,0
1.18,0,17,0
1.19,0,2,0.0804798033165639
1.195,0,1,0.07806356559598271
1.2,0,255,0.07592520287320781
1.205,0,2,0.07406281823261907
1.21,0,1,0.07247354041771814
1.215,0,3,0.07115352383067375
1.22,0,251,0.07009794853192375
1.225,0,10,0.06930102024088569
1.23,0,213,0.06875597033547365
1.235,0,3,0.06845505585226874
1.24,0,5,0.0683895594860644
1.245,47,201,0.06854978959120217
1.25,183,89,0.06892508017941168
1.255,1102,1141,0.06950379092222647
1.26,35,91,0.07027330714885238
1.265,41,119,0.07122003984792968
1.27,2,190,0.07232942566605516
1.275,43,67,0.07358592690877686
1.28,2,187,0.07497303154065094
1.285,3,50,0.0764732531837069
1.29,211,22,0.07806813111986344
1.295,18,152,0.07973823028871152
1.3,10,0,0.0814631412894471
1.305,16,1,0.08322148037845523
1.31,2,0,0.08499088947246491
1.315,11,0,0.0867480361452806
1.32,13,0,0.08846861363034009
1.325,11,0,0.09012734081963458
1.33,1,0,0.09169796226305493
1.335,0,0,0
