CHF/USD (CHU|6S) CHUU6 (34.18 DTE) vs 1.243 (+0) - Open Interest
Put: 2,459 Call: 9,292 Vol: 7.10 Vol Chg: 0.03 Future Chg: 0
Strike,Call,Put,Vol Settle
1.165,0,0,0
1.17,0,5,0
1.175,0,0,0
1.18,0,0,0.08418500734489953
1.185,0,0,0.0823872328241464
1.19,0,0,0.08064693649959054
1.195,0,3,0.07899106977475867
1.2,0,25,0.07744373269315474
1.205,0,2,0.07602617393877154
1.21,0,4,0.07475679083597697
1.215,0,15,0.07365112934985518
1.22,0,11,0.07272188408597913
1.225,0,18,0.07197889828864845
1.23,81,215,0.07142916384583486
1.235,94,312,0.07107682128281567
1.24,1478,315,0.0709231597658686
1.245,179,92,0.07096661710340868
1.25,2434,203,0.07120277974229339
1.255,3808,192,0.07162438277043748
1.26,36,157,0.07222130991618769
1.265,15,39,0.07298059354843645
1.27,465,12,0.0738864146768492
1.275,215,4,0.07492010295038654
1.28,78,673,0.07606013665849787
1.285,9,39,0.07728214273197409
1.29,78,36,0.07855889674158334
1.295,74,22,0.07986032289818468
1.3,18,55,0.08115349405363759
1.305,29,0,0.08240263169966511
1.31,45,0,0.08356910596785383
1.315,33,0,0
1.32,45,0,0
1.325,48,0,0
