CHF/USD (CHU|6S) CHUU6 (3.30 DTE) vs 1.2368 (-0.0023) - Open Interest
Put: 2,966 Call: 10,761 Vol: 8.06 Vol Chg: 0.06 Future Chg: -0.0023
Strike,Call,Put,Vol Settle
1.21,0,5,0
1.215,0,22,0
1.22,0,21,0.08677166751294862
1.225,0,107,0.08520589215913787
1.23,81,216,0.08285016014269786
1.235,94,341,0.08101683805580251
1.24,1480,603,0.08060794553603046
1.245,218,173,0.08211515536822844
1.25,2445,202,0.0856197933171643
1.255,3869,192,0.09079283822211437
1.26,88,156,0.09689492211327888
1.265,12,37,0.10277632986253593
