Copper (HXE|HG) HXEU6 (20.95 DTE) vs 6.7485 (+0.105) - Open Interest
Put: 18,281 Call: 43,728 Vol: 32.35 Vol Chg: 1.26 Future Chg: 0.105
Strike,Call,Put,Vol Settle
5.35,1,372,0
5.4,0,487,0
5.45,0,7,0.41427345195192977
5.5,0,323,0.3994389543925907
5.55,0,20,0.3857939951527163
5.6,0,321,0.3732944616332885
5.65,1,94,0.36189698478336574
5.7,0,350,0.3515589390999372
5.75,100,1683,0.3422384426280649
5.8,0,980,0.33389435696073644
5.85,0,117,0.32648628723904594
5.9,0,1026,0.3199745821519988
5.95,6,154,0.3143203339366769
5.99,0,43,0.31038863297639185
6,220,1742,0.3094853783781115
6.01,0,52,0.30861339628010054
6.04,0,92,0.30618213297278096
6.05,1,325,0.3054322948094157
6.06,0,88,0.3047122620615408
6.1,35,1531,0.30212440611162883
6.15,12,666,0.2995257787138428
6.2,227,1707,0.2976012225931539
6.25,668,1533,0.296316291274632
6.3,216,444,0.2956372818314268
6.35,213,577,0.2955312348845833
6.4,917,502,0.2959659346032595
6.45,643,132,0.2969099087045439
6.5,841,205,0.29833242845360886
6.55,428,61,0.3002035086635342
6.6,274,144,0.3024939076955153
6.65,300,63,0.3051751274586767
6.7,532,211,0.30821941341014103
6.74,53,0,0.3108980734551867
6.75,1219,0,0.3115997545551199
6.76,17,0,0.31231382478556746
6.79,14,0,0.3145283105029346
6.8,1790,2,0.315289883446745
6.81,35,0,0.3160628245651296
6.84,89,0,0.31844785669440867
6.85,247,14,0.319264276186205
6.86,56,0,0.32009107263852243
6.9,1150,0,0.32349815242267077
6.95,153,2,0.3279674753533506
6.99,0,0,0.33169677726725944
7,13527,7,0.3326489517233906
7.01,4,0,0.33360870794949804
7.04,0,0,0.33653170490963014
7.05,740,0,0.3375200318260543
7.06,1,0,0.3385150682660676
7.1,1009,1,0.3425589095025021
7.15,206,0,0.3477445221419604
7.2,380,0,0.35305655068163233
7.25,967,2,0.3584754196067923
7.3,370,0,0.36398229695062945
7.35,347,0,0.36955909429437916
7.4,1725,0,0.37518846676734086
7.5,1480,0,0.386539275357757
7.6,370,0,0.3979108347159901
7.7,22,0,0.40919115360423675
7.74,7,0,0.41365491293531775
7.75,9240,0,0.41476535363283773
7.76,3,0,0.415873415306649
7.79,5,0,0.41918245610566274
7.8,21,0,0.4202801375528189
7.81,9,0,0.42137501385872156
7.84,2,0,0.4246420013325789
7.86,1,0,0.42680450200153075
7.9,246,0,0.4310895888601429
8,1391,0,0.4415432065927618
8.1,72,0,0.4515765865852721
8.25,191,0,0.46572710390234207
