Corn (OZC|ZC) OZCV6 (24.62 DTE) vs 536.75 (-1) - Open Interest
Put: 131,506 Call: 141,809 Vol: 24.27 Vol Chg: -0.04 Future Chg: -1
Strike,Call,Put,Vol Settle
445,120,3981,0
450,2768,8521,0
455,688,3354,0
460,5885,10739,0.3049739326494585
465,1451,3831,0.2952839149775084
470,2648,6857,0.2865970731290943
475,2920,3889,0.2788562345003953
480,7519,10628,0.27200681585910935
483,0,117,0.26830330910437006
484,0,59,0.2671340764597243
485,1876,5826,0.2659968233444925
486,1,85,0.26489116280879266
487,0,32,0.263816712045676
488,1,131,0.2627730923911926
489,0,141,0.2617599293244339
490,4999,6031,0.2607768524674139
491,0,481,0.25982349558522166
492,0,40,0.25889949658587064
493,0,114,0.2580044975204139
494,1,220,0.257138144582882
495,4026,1127,0.2563000881102795
496,0,320,0.2554899825826631
497,7,394,0.254707486623003
498,3,231,0.2539522629973625
499,0,566,0.2532239786146917
500,7605,12961,0.2525223045270337
501,0,708,0.2518469159293737
502,1,646,0.2511974921596707
503,1,448,0.250573716698943
504,0,194,0.24997527717113321
505,1669,1227,0.24940186534324305
506,10,97,0.2488531771252358
507,1,107,0.24832891257004164
508,20,198,0.24782877587364283
509,0,171,0.24735247537496718
510,2471,5668,0.24689972355599998
511,11,383,0.24647023704162407
512,71,465,0.2460637365998224
513,41,403,0.24567994714149144
514,46,272,0.24531859772055498
515,3814,3679,0.24497942153396224
516,44,221,0.24466215592156892
517,20,337,0.24436654236633615
518,39,399,0.24409232649410484
519,25,324,0.24383925807383022
520,12125,4922,0.24360709101736866
521,15,458,0.24339558337959133
522,10,354,0.24320449735840377
523,353,238,0.2430335992946553
524,9,198,0.2428826596722491
525,3048,2270,0.2427514531180126
526,71,208,0.24263975840180585
527,50,229,0.242547358436493
528,106,56,0.24247404027789976
529,74,30,0.24241959512489153
530,6221,3975,0.24238381831926858
531,22,76,0.2423665093458851
532,84,187,0.24236747183256568
533,94,103,0.24238651355011243
534,74,94,0.24242344641234403
535,2506,1999,0.2424780864760674
536,30,11,0.24255025394109708
537,47,38,0.24263977315017726
538,107,20,0.24274647258916993
539,11,14,0.242870184886824
540,4297,701,0.2430107468149032
541,7,21,0.2431679992882092
542,11,43,0.2433417873644821
543,35,1,0.24353196024451051
544,2,11,0.24373837127203402
545,2606,101,0.24396087793382826
546,9,0,0.2441993418596251
547,273,8,0.2444536288221233
548,1,0,0.2447236087371305
549,42,10,0.24500915566332893
550,15408,737,0.2453101478024884
551,6,0,0.24562646749925499
552,46,0,0.245958001241398
553,203,0,0.24630463965960914
554,86,0,0.24666627752758075
555,2031,53,0.24704281376204662
556,0,0,0.24743415142262748
557,0,0,0.24784019771209742
558,705,0,0.24826086397606062
559,0,0,0.2486960657032249
560,5823,43,0.24914572252526668
561,1,0,0.24960975821682396
562,683,0,0.2500881006955993
565,1229,17,0.2516083101764899
570,6023,21,0.25442260217159784
575,3036,4,0.25758321333800893
580,5803,16,0.2610873478747848
585,767,13,0.2649347993525062
590,1413,316,0.2691279507133153
595,584,16,0.2736717742709196
600,5123,17,0.27857383171060945
605,2060,11,0.2838442740892084
610,539,48,0.2894958418351763
615,271,27,0.2955438647484314
620,224,1,0.3020062620005568
625,52,0,0.3089035421346651
630,130,1,0.3162588030653879
635,126,1,0.3240977320790073
640,81,3,0.3324486058332994
645,20,1,0.3413422903576375
