Ether (ETH|ETH) ETHU6 (24.42 DTE) vs 2482 (-11) - Open Interest
Put: 259 Call: 636 Vol: 49.75 Vol Chg: -0.03 Future Chg: -11
Strike,Call,Put,Vol Settle
1700,9,13,0.7667209434119621
1800,2,13,0.7017964320769461
1900,14,1,0.6464627972187864
2000,14,11,0.6004519973721312
2100,11,9,0.5634474123441531
2200,10,10,0.535083843214549
2300,22,2,0.5149475123355401
2400,38,1,0.5025760633318732
2500,50,24,0.4974585611008161
2600,20,3,0.4990354918121642
2700,42,16,0.5066987629082358
2800,27,27,0.5197917031038743
2900,5,0,0.5376090623864467
3000,2,0,0.559397012015844
3100,0,0,0.5843531445244841
3200,14,5,0.6116264737173052
3300,48,0,0.6403174346717724
3400,3,0,0.6694778837378745
3500,30,0,0.6981110985381265
3600,3,0,0.7251717779675633
