EUR/USD (EUU|6E) EUUV6 (38.30 DTE) vs 1.16495 (-0.0014) - Open Interest
Put: 35,659 Call: 27,808 Vol: 5.60 Vol Chg: 0.07 Future Chg: -0.0014
Strike,Call,Put,Vol Settle
1.105,0,1273,0.08406812410396469
1.11,0,609,0.08061718194778678
1.115,0,1583,0.07726732924834323
1.12,0,971,0.07405648855200297
1.125,52,770,0.07101914075707327
1.13,3,2975,0.06818632511118494
1.135,160,1422,0.06558563921419136
1.14,73,3911,0.06324123901600842
1.145,1548,2487,0.061173838817296655
1.15,2184,5236,0.059400711270086504
1.155,2024,2839,0.057935687376982514
1.16,1139,1865,0.05678915649139071
1.165,884,1641,0.05596806631774598
1.17,1938,2240,0.05547592291128467
1.175,3811,754,0.05531279067673722
1.18,1782,1467,0.055475292373159846
1.185,1310,167,0.05595660910648803
1.19,2017,768,0.05674648033550511
1.195,1707,284,0.05783120387013696
1.2,2571,1079,0.05919363586980353
1.205,643,91,0.06081319084569259
1.21,311,5,0.0626658416600776
1.215,331,5,0.06472411952546508
1.22,309,0,0
1.225,153,0,0
