EUR/USD (EUU|6E) EUUU6 (34.18 DTE) vs 1.155 (+0) - Open Interest
Put: 40,436 Call: 68,766 Vol: 5.35 Vol Chg: -0.02 Future Chg: 0
Strike,Call,Put,Vol Settle
1.1,1,2443,0
1.105,0,197,0.07402289453636968
1.11,0,784,0.07119786801939654
1.115,0,691,0.06852540778209004
1.12,22,1776,0.0660065677106445
1.125,9,5582,0.06364612339206133
1.13,59,5432,0.061452572114944815
1.135,88,3186,0.05943813286933164
1.14,1063,2380,0.057618746346918215
1.145,1063,1101,0.056014074941515446
1.15,4548,3847,0.054647502747855015
1.155,1809,1351,0.05354613556295362
1.16,9011,1320,0.05274080088491928
1.165,5817,2010,0.052266047913576585
1.17,5541,2476,0.05216014755012566
1.175,1090,2305,0.05246509239788111
1.18,20096,113,0.053226596761533074
1.185,606,246,0.05449409664720406
1.19,1531,32,0.05632074976324475
1.195,675,79,0.05876343551824448
1.2,8246,9,0
1.205,617,14,0
1.21,654,2,0
