GBP/USD (GBU|6B) GBUV6 (38.30 DTE) vs 1.354 (-0.0012) - Open Interest
Put: 13,215 Call: 9,307 Vol: 5.70 Vol Chg: 0.05 Future Chg: -0.0012
Strike,Call,Put,Vol Settle
1.285,0,23,0.08068413728949508
1.29,2,42,0.07817215849848935
1.295,0,46,0.07572039784912477
1.3,1,117,0.07334959777750782
1.305,3,420,0.07107893188299386
1.31,42,231,0.06892600493029022
1.315,1,217,0.06690685284809206
1.32,501,414,0.06503594272953706
1.325,1,1349,0.06332617283322861
1.33,3,1063,0.0617888725818716
1.335,54,1354,0.060433802561931316
1.34,803,2468,0.059269154525225076
1.345,62,887,0.05830155138750115
1.35,1345,401,0.05753604722951877
1.355,693,2070,0.05697612729738921
1.36,1761,1837,0.05662370799944938
1.365,1003,1,0.056479136910525085
1.37,1470,5,0.05654119276977099
1.375,751,0,0.056807085479533725
1.38,243,0,0.05727245610881937
1.385,214,0,0.05793137688863226
1.39,79,1,0.058776351217090905
1.395,22,0,0.059798313654766844
1.4,63,0,0.06098662992781101
1.405,15,0,0.06232909692693056
1.41,10,1,0.06381194270659307
1.415,3,0,0
1.42,6,0,0
1.425,3,0,0
1.43,4,0,0
