GBP/USD (GBU|6B) GBUU6 (34.18 DTE) vs 1.3482 (+0) - Open Interest
Put: 10,265 Call: 8,240 Vol: 5.74 Vol Chg: 0.03 Future Chg: 0
Strike,Call,Put,Vol Settle
1.28,0,144,0.08533225831911295
1.285,0,643,0.08158635753102317
1.29,9,414,0.0782742309288551
1.295,0,32,0.07533826651138043
1.3,0,524,0.07272681780978019
1.305,0,95,0.07039420389764928
1.31,4,117,0.0683007093841752
1.315,1,1463,0.06641258441368336
1.32,24,1089,0.06470204467018448
1.325,3,395,0.06314727137578302
1.33,20,930,0.06173241128749396
1.335,7,1386,0.06044757669974388
1.34,288,1030,0.05928884544982793
1.345,811,46,0.05825826090267583
1.35,330,67,0.05736383196972383
1.355,1162,41,0.05661953309413548
1.36,1938,46,0.05604530425875964
1.365,547,0,0.05566705098522107
1.37,103,7,0.05551664432778125
1.375,65,0,0.05563192088266078
1.38,134,4,0.05605668278258236
1.385,318,0,0.05684069769608868
1.39,233,4,0.05803969882867932
1.395,6,0,0.059715384926221304
1.4,376,3,0.061935420266763686
1.405,269,1,0.06477343467417995
1.41,497,0,0
1.415,135,0,0
1.42,177,0,0
