Iron Ore APO (ICT|TIO) ICTQ6 (25.99 DTE) vs 93.7 (+0) - Open Interest
Put: 0 Call: 0 Vol: 25.00 Vol Chg: 25.00 Future Chg: 0
Strike,Call,Put,Vol Settle
77,0,0,0
77.5,0,0,0
78,0,0,0
78.5,0,0,0
79,0,0,0
79.5,0,0,0
80,0,0,0
80.5,0,0,0
81,0,0,0
81.5,0,0,0
82,0,0,0
82.5,0,0,0
83,0,0,0
83.5,0,0,0
84,0,0,0
84.5,0,0,0
85,0,0,0
85.5,0,0,0
86,0,0,0
86.5,0,0,0
87,0,0,0
87.5,0,0,0
88,0,0,0
88.5,0,0,0
89,0,0,0
89.5,0,0,0
90,0,0,0
90.5,0,0,0
91,0,0,0
91.5,0,0,0
92,0,0,0
92.5,0,0,0
93,0,0,0
93.5,0,0,0
94,0,0,0
94.5,0,0,0
95,0,0,0
95.5,0,0,0
96,0,0,0
96.5,0,0,0
97,0,0,0
97.5,0,0,0
98,0,0,0
98.5,0,0,0
99,0,0,0
99.5,0,0,0
100,0,0,0
100.5,0,0,0
101,0,0,0
101.5,0,0,0
102,0,0,0
102.5,0,0,0
103,0,0,0
103.5,0,0,0
104,0,0,0
104.5,0,0,0
105,0,0,0
105.5,0,0,0
106,0,0,0
106.5,0,0,0
107,0,0,0
107.5,0,0,0
108,0,0,0
108.5,0,0,0
109,0,0,0
109.5,0,0,0
110,0,0,0
110.5,0,0,0
111,0,0,0
111.5,0,0,0
112,0,0,0
112.5,0,0,0
113,0,0,0
113.5,0,0,0
114,0,0,0
