JPY/USD (JPU|6J) JPUV6 (38.30 DTE) vs 0.006302 (-0.000007) - Open Interest
Put: 17,664 Call: 13,262 Vol: 7.17 Vol Chg: 0.01 Future Chg: -0.000007
Strike,Call,Put,Vol Settle
0.0059,0,111,0
0.00595,1,39,0
0.006,0,184,0.07934172330215006
0.00605,0,259,0.07089938156900644
0.0061,0,3372,0.06626573616722453
0.00615,16,1171,0.06467659461804942
0.0062,3099,2460,0.06544748465910288
0.00625,206,1499,0.06797365425245516
0.0063,1588,3131,0.07173007157371103
0.00635,345,706,0.07627142502633433
0.0064,1183,1956,0.08123212322982454
0.00645,977,742,0.0863262950239232
0.0065,1838,32,0.09134778947031919
0.00655,840,1602,0.09617017585037502
0.0066,350,52,0.10074674366398995
0.00665,1279,1,0.10511050263426114
0.0067,403,0,0.10937418270145827
0.00675,80,10,0.1137302340291626
