JPY/USD (JPU|6J) MJ1Q6 (2.18 DTE) vs 0.0063145 (+0) - Open Interest
Put: 2,726 Call: 2,992 Vol: 12.11 Vol Chg: 0.07 Future Chg: 0
Strike,Call,Put,Vol Settle
0.00615,5,682,0
0.006175,122,39,0
0.0062,362,562,0
0.006225,1310,1428,0.08891864162887941
0.00625,122,0,0.09883297452870465
0.006275,0,0,0.10766338111625373
0.0063,11,1,0.11514690461262944
0.006325,1017,0,0.12106639040575828
0.00635,30,0,0.12525048610041267
0.006375,0,0,0.12757364147637418
0.0064,0,0,0.12795610850298544
0.006425,0,0,0.12636394138280593
0.00645,0,0,0.12280899645884347
0.006475,0,0,0
