NASDAQ 100 (NQ|NQ) NQU6 (17.28 DTE) vs 29526 (+13) - Open Interest
Put: 31,368 Call: 27,945 Vol: 16.25 Vol Chg: -0.02 Future Chg: 13
Strike,Call,Put,Vol Settle
26550,1,189,0.27751715174257896
26600,1,56,0.2751097961560518
26650,0,114,0.272718995339325
26700,0,126,0.270344453435861
26750,1,167,0.26798589292083363
26800,0,127,0.26564305460038184
26850,0,95,0.2633156976121569
26900,0,91,0.26100359942532236
26950,0,0,0.25870655584016333
27000,249,1838,0.25642438098851983
27050,0,0,0.25415690733372287
27100,3,53,0.2519039856699834
27150,0,0,0.24966548512342968
27200,4,104,0.247441293151212
27250,73,311,0.24523131554208533
27300,1,150,0.24303547641603984
27350,0,0,0.2408537182244146
27400,2,87,0.23868600175003962
27450,0,0,0.23653230610693754
27500,246,955,0.23439262874053668
27550,0,0,0.23226698542796953
27600,14,425,0.2301554102772485
27650,3,95,0.22805795572818965
27700,1,631,0.22597469255154579
27750,59,120,0.22390570984983071
27800,84,150,0.22185111505665134
27850,0,0,0.2198110339371766
27900,66,163,0.21778561058789592
27950,0,0,0.21577500743659073
28000,236,2476,0.2137794052424482
28050,0,0,0.2117990030961181
28100,73,214,0.20983401841949956
28150,0,0,0.20788468696588325
28200,76,146,0.20595126282007925
28250,101,175,0.204034018398076
28300,37,92,0.20213324444716818
28350,0,0,0.20024925004639726
28400,24,60,0.19838236260579833
28450,0,0,0.19653292786696852
28500,379,825,0.19470130990275436
28550,0,58,0.19288789111760707
28600,214,158,0.19109307224698568
28650,0,0,0.1893172723579255
28700,67,220,0.18756092884903808
28750,90,165,0.18582449744985752
28800,71,236,0.18410845222167893
28850,0,0,0.18241328555689051
28900,24,94,0.18073950817954199
28950,0,0,0.17908764914469089
29000,731,881,0.17745825583914154
29050,0,0,0.1758518939807061
29100,59,198,0.17426914761894352
29150,0,0,0.17271061913443475
29200,138,86,0.17117692923932282
29250,198,221,0.16966871697718489
29300,154,66,0.16818663972277648
29350,0,0,0.16673137318231568
29400,236,113,0.16530361139348315
29450,0,0,0.16390406672509528
29500,449,435,0.16253346987765838
29550,0,0,0.16119256988272923
29600,454,134,0.1598821341034551
29650,192,96,0.15860294823420418
29700,100,86,0.157355816300921
29750,330,540,0.15614156066072837
29800,199,55,0.1549610220021549
29850,0,0,0.1538150593452059
29900,150,38,0.15270455004103667
29950,0,0,0.151630389772464
30000,1342,465,0.15059349255356835
30050,0,0,0.14959479072958004
30100,386,15,0.14863523497740516
30150,0,0,0.1477157943051708
30200,277,33,0.1468374560523955
30250,321,30,0.14600122588991837
30300,481,10,0.14520812782021153
30350,0,0,0.14445920417678337
30400,167,3,0.14375551562447697
30450,0,0,0.14309814116001007
30500,1019,267,0.14248817811075298
30550,0,0,0.1419267421362349
30600,236,4,0.14141496722648128
30650,0,0,0.14095400570391803
30700,486,1,0.14054502822125414
30750,430,7,0.1401892237634712
30800,185,0,0.1398877996462602
30850,0,0,0.13964198151707308
30900,202,13,0.13945301335483862
30950,0,0,0.1393221574692376
31000,1392,230,0.13925069450219496
31100,1080,1,0.13929116154550059
31200,281,1,0.13958502624389268
31250,417,8,0.13983037908812435
31300,247,0,0.1401431936583748
31400,211,0,0.14097686215183103
31500,854,116,0.14209752338929604
31600,88,0,0
31700,131,0,0
31750,121,1,0
31800,36,0,0
31900,36,0,0
32000,1429,51,0
32100,18,0,0
32200,17,0,0
32250,171,5,0
32300,21,0,0
32500,521,1,0
32750,220,0,0
