NASDAQ 100 (NQ|NQ) Q1BU6 (0.55 DTE) vs 29526 (+13) - Open Interest
Put: 2,791 Call: 2,087 Vol: 15.52 Vol Chg: 0.03 Future Chg: 13
Strike,Call,Put,Vol Settle
29000,1,157,0.2064694640575908
29010,0,6,0.20525938564969692
29020,0,0,0.2040686551190447
29025,0,5,0.20348025670682546
29030,0,1,0.20289635132212425
29040,0,51,0.20174157270230353
29050,1,10,0.2006034375008312
29060,0,2,0.1994810836040415
29070,0,3,0.19837366848514648
29075,0,13,0.19782530512748053
29080,0,1,0.19728036951710237
29090,0,0,0.19620038364519132
29100,1,41,0.19513292747433297
29110,0,8,0.19407723734911997
29120,0,0,0.19303256927378243
29125,0,7,0.19251414141763235
29130,0,0,0.19199819901405135
29140,0,0,0.19097342195891542
29150,6,11,0.18995755307696527
29160,0,2,0.188949927338399
29170,0,23,0.1879498990965658
29175,0,6,0.18745253768429393
29180,0,5,0.18695684250997147
29190,0,0,0.18597015144769102
29200,1,44,0.1849892394748167
29210,0,7,0.18401353973604273
29220,0,18,0.18304250526853139
29225,2,7,0.1825585719270748
29230,0,13,0.18207560860173544
29240,0,6,0.18111234200478066
29250,4,16,0.18015221756650135
29260,0,12,0.17919476688985014
29270,0,2,0.1782395412446931
29275,1,13,0.17776262811094057
29280,1,4,0.17728611185157206
29290,0,9,0.17633406938693952
29300,26,54,0.17538302431057673
29310,0,2,0.17443260663276305
29320,0,1,0.1734824662853498
29325,5,30,0.1730073960716254
29330,0,15,0.17253227275796235
29340,0,4,0.17158171519986354
29350,4,38,0.17063050248543732
29360,0,2,0.1696783631996368
29370,0,10,0.16872504562343238
29375,3,14,0.16824787165387534
29380,0,3,0.16777031761739636
29390,0,21,0.1668139669127413
29400,3,192,0.16585580087121343
29410,0,9,0.16489564631774556
29420,0,0,0.16393335020984523
29425,3,3,0.1634513565004454
29430,0,11,0.16296877873537596
29440,0,5,0.1620018181129126
29450,36,25,0.1610323740824242
29460,0,7,0.16006037204351742
29470,5,5,0.15908575719367946
29475,13,10,0.15859745824127458
29480,7,11,0.15810849436820718
29490,1,7,0.1571285681129666
29500,161,64,0.15614598268439295
29510,0,1,0.15516076188941952
29520,2,6,0.15417294944199966
29525,4,6,0.1536780903552426
29530,0,2,0.15318260858475696
29540,3,11,0.15218982227088418
29550,6,20,0.15119469317869516
29560,3,1,0.15019734372617677
29570,0,15,0.14919791588908993
29575,6,3,0.1486974723666208
29580,2,3,0.14819657145562815
29590,2,7,0.14719349177903496
29600,13,15,0.14618887804681435
29610,0,2,0.1451829510551761
29620,1,2,0.14417595123086357
29625,5,0,0.1436721295976895
29630,38,36,0.14316813884943258
29640,4,2,0.14215979375876486
29650,21,18,0.14115121550275944
29660,4,2,0.14014272335771238
29670,3,1,0.13913465620862553
29675,5,1,0.1386308933433611
29680,3,1,0.13812737278203713
29690,0,1,0.13712125128222397
29700,62,17,0.13611668983503478
29710,1,1,0.1351141061168164
29720,20,2,0.1341139374053455
29725,3,0,0.1336149008202483
29730,0,0,0.1331166409436264
29740,4,0,0.13212269339419436
29750,82,4,0.1311325911883614
29760,5,0,0.13014685061352793
29770,3,0,0.12916600734024541
29775,3,0,0.12867759509390453
29780,10,2,0.12819061701884493
29790,8,10,0.12722125484287972
29800,101,4,0.12625851568736834
29810,0,0,0.1253030141670024
29820,1,0,0.12435538452700712
29825,3,2,0.12388472525344696
29830,14,0,0.12341628073772881
29840,0,0,0.12248637650918681
29850,45,0,0.12156636524014175
29860,1,0,0.12065695988712832
29870,28,2,0
29875,7,0,0
29880,0,0,0
29890,0,0,0
29900,170,2,0
29910,1,0,0
29920,2,0,0
29925,197,0,0
29930,4,0,0
29940,0,0,0
29950,14,6,0
29960,0,0,0
29970,1,0,0
29975,7,2,0
29980,0,0,0
29990,1,0,0
30000,58,2,0
30010,15,0,0
30020,0,0,0
30025,5,0,0
30030,0,0,0
30040,0,0,0
30050,7,0,0
30060,2,0,0
