Platinum (PO|PL) POV6 (15.41 DTE) vs 1810.9 (+16.7) - Open Interest
Put: 2,856 Call: 5,925 Vol: 35.58 Vol Chg: -0.07 Future Chg: 16.7
Strike,Call,Put,Vol Settle
1455,0,0,0
1460,0,0,0
1465,0,0,0
1470,0,0,0
1475,0,0,0
1480,0,0,0
1485,0,0,0
1490,0,0,0
1495,0,0,0
1500,4,91,0
1505,0,0,0
1510,0,0,0
1515,0,0,0
1520,0,0,0
1525,0,0,0
1530,0,0,0
1535,0,0,0
1540,0,0,0
1545,0,0,0
1550,0,20,0.3533133312030259
1555,0,0,0.35285646539940707
1560,0,34,0.35240615700647915
1565,0,0,0.3519636420988359
1570,0,0,0.3515301303057523
1575,3,5,0.3511068048112609
1580,0,0,0.3506948223541091
1585,0,0,0.3502953132277682
1590,0,17,0.34990938128051496
1595,0,0,0.34953810391525586
1600,7,48,0.3491825320896833
1605,0,0,0.3488436903162224
1610,0,0,0.34852257666199904
1615,4,0,0.34822016274891077
1620,0,0,0.34793739375353816
1625,0,0,0.3476751884072602
1630,26,23,0.34743443899611925
1635,28,0,0.3472160113609206
1640,0,5,0.34702074489721824
1645,0,0,0.34684945255527033
1650,45,153,0.3467029208400625
1655,0,0,0.34658190981132897
1660,0,0,0.3464871530835385
1665,0,0,0.3464193578258872
1670,0,0,0.34637920476228956
1675,0,60,0.3463673481713876
1680,0,52,0.3463844158865985
1685,0,0,0.34643100929602255
1690,176,175,0.34650770334251746
1695,0,0,0.34661504652366126
1700,236,378,0.34675356089173803
1705,0,0,0.34692374205383913
1710,0,0,0.34712605917171935
1715,0,0,0.34736095496189634
1720,1,110,0.3476288456956027
1725,0,10,0.3479301211987984
1730,0,0,0.34826514485218674
1735,0,0,0.3486342535912108
1740,0,21,0.34903775790604286
1745,0,20,0.3494759418415754
1750,153,334,0.3499490629974318
1755,0,30,0.3504573525279646
1760,7,20,0.3510010151422627
1765,6,27,0.3515802291041723
1770,1,45,0.3521951462322228
1775,66,108,0.35284589189971527
1780,2,30,0.3535325650346586
1785,2,25,0.3542552381198121
1790,2,10,0.3550139571926465
1795,2,0,0.3558087418453866
1800,225,66,0.35663958522494
1805,0,0,0.3575064540330075
1810,0,0,0.3584092885260155
1815,0,0,0.3593480025150697
1820,0,3,0.36032248336604766
1825,32,0,0.36133259199956314
1830,0,0,0.36237816289091995
1835,0,0,0.3634590040702008
1840,0,1,0.36457489712220337
1845,0,0,0.365725597186465
1850,302,218,0.3669108329572133
1855,0,0,0.36813030668345803
1860,0,0,0.36938369416893124
1865,0,1,0.37067064477206557
1870,30,0,0.3719907814060299
1875,1,0,0.3733437005387863
1880,0,0,0.37472897219294765
1885,30,0,0.3761461399459236
1890,30,0,0.37759472092978186
1895,30,0,0.37907420583139384
1900,455,191,0.38058405889232816
1905,0,0,0.38212371790885413
1910,0,0,0.38369259423207325
1915,0,0,0.3852900727677344
1920,0,0,0.38691551197631924
1925,61,0,0.38856824387303845
1930,1,0,0.39024757402790655
1935,0,0,0.3919527815655819
1940,0,0,0.39368311916547327
1945,0,24,0.3954378130618039
1950,202,50,0.3972160630434125
1955,0,0,0.399017042453913
1960,0,0,0.4008398981916841
1965,0,0,0.4026837507098193
1970,0,0,0.4045476940160917
1975,6,0,0.4064307956730353
1980,0,0,0.4083320967980022
1985,0,0,0.41025061206294566
1990,0,0,0.41218532969462274
1995,20,0,0.41413521147452315
2000,448,1,0.4160991927387947
2005,20,0,0.4180761823784138
2010,20,0,0.4200650628390399
2015,30,0,0.4220646901211005
2020,10,0,0.4240738937796671
2025,11,0,0.42609147692465044
2030,0,0,0.42811621622061224
2035,0,0,0.43014686188691087
2040,0,0,0.4321821376975592
2045,0,0,0.4342207409813881
2050,56,0,0.4362613426218793
2055,0,0,0.4383025870572794
2060,0,0,0.4403430922806244
2065,0,0,0.44238144983957284
2070,0,0,0.44441622483658705
2075,0,0,0.4464459559288301
2080,0,0,0.4484691553282545
2085,0,0,0.45048430880144963
2090,0,0,0.45248987566981924
2095,0,0,0.4544842888094678
2100,52,100,0.4564659546511791
2105,0,0,0.4584332531805657
2110,0,0,0.46038453793792655
2115,0,0,0.4623181360182613
2120,0,0,0.4642323480713486
2125,12,0,0.4661254483016819
2130,0,41,0.46799568446848383
2135,12,12,0.46984127788569907
2140,0,12,0.47166042342201564
2145,0,0,0.4734512895008578
2150,0,0,0.4752120181003505
2155,0,0,0.4769407247534261
2160,0,0,0.4786354985476393
2165,0,0,0.48029440212536656
2170,0,0,0.4819154716836991
2175,0,0,0.48349671697441465
2180,0,0,0.4850361213040202
2185,0,0,0.4865316415338299
2190,0,0,0.4879812080798658
2195,0,0,0.4893827249128364
2200,257,0,0.49073406955817234
2205,0,0,0.49203309309612564
2210,0,0,0.49327762016158516
2215,0,0,0.49446544894423994
2220,0,0,0.49559435118839446
2225,0,0,0.4966620721932884
2230,0,0,0.49766633081272005
2235,0,0,0
2240,0,0,0
2245,0,0,0
