Rough Rice (OZR|ZR) OZRU6 (20.37 DTE) vs 13.96 (+0) - Open Interest
Put: 1,415 Call: 885 Vol: 19.78 Vol Chg: 0.06 Future Chg: 0
Strike,Call,Put,Vol Settle
12.2,200,30,0
12.4,0,71,0
12.6,100,2,0.22375011930802202
12.8,213,0,0.22432568562481947
13,76,155,0.2202460298404958
13.2,2,17,0.2138643598476051
13.4,4,10,0.20711769839994076
13.6,0,17,0.20152688311384281
13.8,0,30,0.19819656646836847
14,79,100,0.19781521580358685
14.2,6,0,0.20065511332165897
14.4,6,0,0.206572356088202
14.6,0,0,0.21500685602745762
14.8,0,0,0.22498233992928363
15,13,0,0.23510634944364028
15.2,0,0,0.24357024108223868
15.4,0,0,0.2481491862195071
15.6,0,0,0.24620217109259102
15.8,0,0,0
16,13,0,0
