Russell 2K (RTO|RTY) RTOU6 (17.28 DTE) vs 2960.1 (+1.4) - Open Interest
Put: 16,432 Call: 7,794 Vol: 16.61 Vol Chg: -0.13 Future Chg: 1.4
Strike,Call,Put,Vol Settle
2675,0,132,0.2701025578373901
2700,31,472,0.25836415023172776
2725,0,69,0.2471308200771034
2750,8,265,0.2363618554777389
2775,0,239,0.22602895098589215
2800,450,931,0.21611620760161543
2825,1,262,0.20662013277322444
2850,3,899,0.19754964039672984
2875,0,1179,0.18892605081620673
2900,430,1063,0.1807830908237804
2925,0,194,0.17316689365948434
2950,8,562,0.1661359990112743
2975,10,135,0.15976135301531258
3000,334,674,0.15412630825525753
3025,93,177,0.14932662376332928
3050,207,766,0.14547046501920136
3075,394,13,0.14267840395096698
3100,798,5,0.14108341893438592
3125,60,2,0.1408308947933108
3150,143,4,0.14207862279926076
3175,68,0,0
3200,775,4,0
3225,97,0,0
3250,426,0,0
3275,225,0,0
