Russell 2K (RTO|RTY) R1AQ6 (2.43 DTE) vs 2938 (+0) - Open Interest
Put: 1,693 Call: 545 Vol: 11.70 Vol Chg: 0.07 Future Chg: 0
Strike,Call,Put,Vol Settle
2860,9,4,0.1661541897465213
2870,0,24,0.1595183127992641
2875,0,428,0.15635734645547927
2880,0,19,0.15326809243197204
2890,0,77,0.14722306648582162
2900,0,75,0.1412485128203116
2910,4,164,0.13525544933327183
2920,3,78,0.12920063401361404
2925,11,74,0.126149063316916
2930,9,53,0.12308656485038227
2940,5,27,0.11696147985458083
2950,57,18,0.11091935714284773
2960,7,1,0.10509991481376346
2970,16,4,0.09968861105517135
2975,10,3,0.09720647383801406
2980,33,0,0.09491664404595213
2990,68,0,0
3000,20,8,0
3010,36,0,0
3020,34,0,0
