Silver (SO|SI) S1TU6 (0.42 DTE) vs 67.2 (+0.21) - Intraday Volume
Put: 56 Call: 41 Vol: 48.31 Vol Chg: 0.25 Future Chg: 0.21
Strike,Call,Put,Vol Settle
64,0,0,0.5353845301533511
64.1,0,0,0.5330553896483252
64.2,0,0,0.5306106971365807
64.3,0,0,0.5280713849406311
64.4,0,0,0.5254577619225529
64.5,0,0,0.5227895134721621
64.6,0,0,0.5200857015142901
64.7,0,0,0.5173647644887751
64.8,0,0,0.5146445173686516
64.9,0,0,0.5119421516783405
65,0,5,0.5092742354354414
65.1,0,0,0.5066567132062119
65.2,0,0,0.5041049060946534
65.3,0,0,0.5016335117079507
65.4,0,0,0.49925660420831264
65.5,0,5,0.4969876342674979
65.6,0,0,0.4948394290922806
65.7,0,15,0.49282419243536424
65.8,0,0,0.4909535045526354
65.9,0,0,0.48923832224681973
66,0,0,0.4876889788265544
66.1,0,0,0.48631518416186736
66.2,0,0,0.4851260246377933
66.3,0,0,0.4841299631552829
66.4,0,0,0.48333483916030673
66.5,0,0,0.4827478686283939
66.6,0,0,0.48237564404917066
66.7,0,0,0.48222413446455903
66.8,0,0,0.4822986854142073
66.9,0,0,0.482604018998245
67,2,1,0.48314423382089444
67.1,0,0,0.4839228050386737
67.2,10,0,0.48494258432310744
67.3,0,10,0.48620579986345547
67.4,0,0,0.4877140564058209
67.5,3,20,0.4894683352067659
67.6,0,0,0.4914689940533208
67.7,0,0,0.4937157672684407
67.8,0,0,0.4962077656928159
67.9,0,0,0.49894347670942807
68,21,0,0.501920764222632
68.1,2,0,0.5051368686617934
68.2,0,0,0.5085884069922031
68.3,0,0,0.5122713727214432
68.4,3,0,0.5161811358539126
68.5,0,0,0.5203124429417585
68.6,0,0,0.5246594170748722
68.7,0,0,0.5292155578490565
68.8,0,0,0.5339737414115007
68.9,0,0,0.5389262204316765
69,0,0,0.5440646241013383
69.1,0,0,0.5493799581372514
69.2,0,0,0.554862604813934
69.3,0,0,0.5605023228881691
69.4,0,0,0.56628824769723
69.5,0,0,0.5722088910688399
69.6,0,0,0.5782521413730137
69.7,0,0,0.5844052635138723
69.8,0,0,0.5906548989050862
69.9,0,0,0.5969870655308114
70,0,0,0.6033871578547405
70.1,0,0,0.6098399469010474
70.2,0,0,0.6163295802107314
70.3,0,0,0.6228395818598074
70.4,0,0,0.6293528524593057
70.5,0,0,0.6358516691207114
