Silver (SO|SI) SO1Q6 (1.98 DTE) vs 62.41 (+2.165) - Open Interest
Put: 296 Call: 372 Vol: 53.40 Vol Chg: 3.82 Future Chg: 2.165
Strike,Call,Put,Vol Settle
55.5,0,3,0.5857848133088623
55.6,0,0,0.5821063846563561
55.7,0,0,0.5784535108123805
55.8,0,0,0.574829278570121
55.9,0,0,0.5712367071891435
56,0,49,0.5676787483947123
56.1,0,0,0.5641582863780741
56.2,0,0,0.5606781377956054
56.3,0,0,0.5572410517706885
56.4,1,0,0.5538497098918924
56.5,2,2,0.5505067262145644
56.6,0,0,0.5472146472591248
56.7,0,0,0.5439759520114649
56.8,0,0,0.5407930519247088
56.9,0,0,0.5376682909175656
57,0,21,0.5346039453737603
57.1,0,0,0.5316022241437395
57.2,0,0,0.5286652685438753
57.3,0,0,0.5257951523556699
57.4,0,0,0.5229938818278015
57.5,34,62,0.5202633956736804
57.6,0,0,0.5176055650733815
57.7,0,0,0.5150221936723938
57.8,0,1,0.5125150175827002
57.9,0,0,0.5100857053815844
58,16,5,0.507735858112369
58.1,0,0,0.5054670092844162
58.2,0,0,0.5032806248736392
58.3,0,0,0.5011781033206262
58.4,0,0,0.4991607755330847
58.5,5,2,0.4972299048833406
58.6,0,0,0.49538668721061185
58.7,0,0,0.49363225081958717
58.8,0,0,0.49196765648196106
58.9,0,0,0.4903938974331936
59,33,9,0.488911899376717
59.1,0,0,0.4875225204806952
59.2,4,1,0.48622655137955917
59.3,0,1,0.485024715173779
59.4,0,0,0.48391766742952314
59.5,1,0,0.4829059961788289
59.6,1,0,0.48199022191994345
59.7,0,0,0.4811707976169828
59.8,0,12,0.48044810869987487
59.9,17,14,0.4798224730637912
60,34,15,0.4792941410713638
60.1,5,0,0.47886329554984286
60.2,12,0,0.47853005179314323
60.3,1,0,0.4782944575602528
60.4,6,0,0.4781564930765967
60.5,5,0,0.4781160710336394
60.6,10,0,0.47817303658922583
60.7,1,0,0.47832716736530756
60.8,0,0,0.4785781734511261
60.9,0,0,0.47892569740253066
61,38,0,0.4793693142401594
61.1,10,0,0.4799085314501781
61.2,0,0,0.480542788985872
61.3,0,0,0.48127145926520143
61.4,0,0,0.48209384717330295
61.5,41,0,0.4830091900608977
61.6,0,0,0.48401665774360936
61.7,0,0,0.48511535250446514
61.8,0,0,0.48630430909059896
61.9,0,0,0.4875824947172873
62,3,0,0.4889488090635723
62.1,0,0,0.4904020842757859
62.2,0,0,0.4919410849661858
62.3,0,0,0.4935645082119322
62.4,0,0,0.49527098355713406
62.5,1,2,0.4970590730112576
62.6,1,0,0.4989272710491264
62.7,0,0,0.5008740046128537
62.8,1,0,0.5028976331102513
62.9,0,0,0.504996448413749
63,48,0,0.5071686748621573
63.1,0,0,0.5094124692616901
63.2,0,0,0.5117259208823839
63.3,1,0,0.5141070514621333
63.4,0,0,0.516553815202883
63.5,0,0,0.5190640987729012
63.6,0,0,0.5216357213082574
64,2,0,0.5324896200949638
64.5,22,0,0.5471473053755176
65,15,0,0.5626970123582851
65.5,0,0,0.5787563899841643
66,1,0,0.5949008783884437
66.5,0,0,0.610663708903644
67,0,0,0.6255359040591202
67.5,0,0,0.6389662775782199
68,0,0,0
69,0,0,0
70,0,0,0
