Solana (SOL|SOL) SOLQ6 (27.23 DTE) vs 73.05 (+0) - Open Interest
Put: 0 Call: 0 Vol: 48.41 Vol Chg: -0.07 Future Chg: 0
Strike,Call,Put,Vol Settle
50,0,0,0.7407145857530599
55,0,0,0.6415630039900886
60,0,0,0.5704635339202704
60.5,0,0,0.5647034858082326
61,0,0,0.5591703726698243
61.5,0,0,0.5538597977944839
62,0,0,0.5487674348060159
62.5,0,0,0.5438890276626039
63,0,0,0.5392203906567982
63.5,0,0,0.5347574084155213
64,0,0,0.5304960359000714
64.5,0,0,0.526432298406113
65,0,0,0.522562291563685
65.5,0,0,0.5188821813371981
66,0,0,0.5153882040254355
66.5,0,0,0.5120766662615505
67,0,0,0.508943945013068
67.5,0,0,0.505986487581886
68,0,0,0.5032008116042728
68.5,0,0,0.500583505050872
69,0,0,0.49813122622669526
69.5,0,0,0.4958407037711279
70,0,0,0.4937087366579218
70.5,0,0,0.49173219419520886
71,0,0,0.4899080160254887
71.5,0,0,0.48823321212563164
72,0,0,0.4867048628068835
72.5,0,0,0.48532011871485436
73,0,0,0.4840762008295354
73.5,0,0,0.4829704004652853
74,0,0,0.4820000792708301
74.5,0,0,0.4811626692292754
75,0,0,0.48045567265809375
75.5,0,0,0.4798766622091306
76,0,0,0.4794232808686043
76.5,0,0,0.47909324195710323
77,0,0,0.4788843291295872
77.5,0,0,0.47879439637538934
78,0,0,0.47882136801821273
79,0,0,0.47921807346160783
80,0,0,0.48005924673683453
81,0,0,0.48133081447091675
82,0,0,0.48301982864081916
83,0,0,0.48511446657344814
84,0,0,0.4876040309456733
85,0,0,0.49047894978430007
86,0,0,0.49373077646608365
88,0,0,0.5013369936159036
90,0,0,0.510377616408149
92,0,0,0.520825584455014
94,0,0,0.5326718429678468
95,0,0,0.5391214249335761
100,0,0,0.5767798974032958
105,0,0,0.6241258995775212
