Soybeans (OZS|ZS) OZSV6 (24.62 DTE) vs 1297.5 (+9.5) - Open Interest
Put: 75,182 Call: 59,621 Vol: 19.23 Vol Chg: -0.14 Future Chg: 9.5
Strike,Call,Put,Vol Settle
1120,118,2371,0
1130,37,1512,0
1140,419,2455,0
1150,208,6383,0
1160,448,2484,0.20026873470074236
1164,0,156,0.19740496523094464
1166,0,289,0.19607820764072414
1168,0,112,0.1948193117143262
1170,1177,4479,0.1936266346689166
1172,0,134,0.19249855335499433
1174,0,49,0.1914334642559936
1176,0,103,0.19042978348925033
1178,0,145,0.18948594680493613
1180,1535,5685,0.18860040958681168
1182,0,208,0.18777164685168657
1184,0,118,0.18699815324974622
1186,0,177,0.1862784430645945
1188,0,228,0.18561105021301216
1190,1583,3017,0.18499452824524099
1192,1,361,0.18442745034454333
1194,4,147,0.1839084093278558
1196,12,20,0.18343601764489392
1198,12,66,0.18300890737926068
1200,3770,6782,0.18262573024743745
1202,11,30,0.18228515759933828
1204,1,110,0.18198588041829566
1206,3,15,0.18172660932077633
1208,0,196,0.1815060745565802
1210,1211,1992,0.18132302600889716
1212,1,225,0.1811762331939235
1214,3,75,0.18106448526167185
1216,16,14,0.1809865909951327
1218,42,178,0.18094137881034555
1220,2900,6892,0.1809276967572373
1222,24,68,0.18094441251862747
1224,246,45,0.18099041341062616
1226,68,172,0.18106460638293242
1228,52,70,0.18116591801826587
1230,2122,2715,0.1812932945327077
1232,10,90,0.18144570177568653
1234,17,57,0.18162212523010623
1236,16,47,0.18182157001159283
1238,98,92,0.1820430608700434
1240,3779,5864,0.18228564218746612
1242,20,55,0.18254837798019707
1244,25,25,0.18283035189737973
1246,13,33,0.1831306672212918
1248,18,12,0.18344844686791362
1250,3057,3074,0.18378283338643087
1252,58,23,0.18413298895910657
1254,39,78,0.18449809540172168
1256,18,22,0.1848773541634614
1258,38,28,0.18526998632640357
1260,5977,890,0.18567523260617236
1262,30,19,0.1860923533517962
1264,60,38,0.18652062854545193
1266,272,8,0.18695935780257855
1268,412,13,0.1874078603721614
1270,1990,269,0.18786547513607843
1272,73,27,0.1883315606099245
1274,31,14,0.18880549494232923
1276,45,10,0.1892866759152696
1278,109,17,0.18977452094424052
1280,3198,461,0.19026846707762957
1282,329,9,0.1907679709974559
1284,26,38,0.19127250901891557
1286,123,12,0.19178157709046673
1288,62,10,0.1922946907940286
1290,825,81,0.19281138534461206
1292,69,10,0.1933312155905753
1294,33,8,0.19385375601387977
1296,40,2,0.19437860072929425
1298,92,3,0.19490536348513388
1300,9102,207,0.1954336776630612
1302,341,1,0.1959631962780577
1304,307,0,0.19649359197813965
1306,6,0,0.19702455704504018
1308,20,0,0.19755580339338508
1310,1820,19,0.19808706257146014
1312,0,0,0.19861808576038698
1314,10,1,0.19914864377520303
1316,1,0,0.1996785270637247
1318,0,0,0.200207545707201
1320,1364,2,0.20073552942034212
1322,0,0,0.2012623275510066
1324,0,2,0.20178780908042881
1326,8,0,0.20231186262307688
1328,10,0,0.20283439642673784
1330,1444,47,0.20335533837277353
1332,0,0,0.20387463597512578
1334,0,0,0.20439225638173752
1336,0,0,0.20490818637361485
1338,0,0,0.20542243236525337
1340,1247,1,0.20593502040392764
1342,0,0,0.2064459961706291
1344,0,0,0.2069554249794976
1346,0,0,0.2074633917781341
1348,0,0,0.20797000114740172
1350,1365,3,0.20847537730122667
1352,0,0,0.20897966408708157
1360,276,1,0.21098948166473974
1370,907,1,0.21350267690652913
1380,394,1,0.21605257725073557
1390,62,0,0.2186890677343456
1400,1152,0,0.2214743042062537
1410,12,0,0.22448271332760328
1420,200,0,0.22780099257204256
1430,427,0,0.2315281102254687
1440,110,0,0.2357753053860847
1450,128,0,0.2406660879640583
1460,127,0,0.24633623868237464
1470,47,0,0.2529338090759836
1480,278,0,0.26061912149225464
1490,116,0,0
1500,117,0,0
