Soybeans (OZS|ZS) OZSU6 (20.49 DTE) vs 1170.75 (+0) - Open Interest
Put: 66,820 Call: 108,779 Vol: 17.28 Vol Chg: -0.03 Future Chg: 0
Strike,Call,Put,Vol Settle
1040,0,1894,0
1050,24,1053,0
1060,105,2565,0
1070,204,1307,0.195878179003401
1080,386,1498,0.1890840610879998
1090,299,770,0.18352612933835744
1100,975,4949,0.17910686890451188
1110,236,1834,0.1757331884456832
1114,0,0,0.1746564684309142
1116,0,0,0.17417378872233868
1118,0,0,0.1737273282477112
1120,744,6927,0.17331642013001058
1122,0,10,0.17294040456987148
1124,0,0,0.17259862884555588
1126,0,0,0.1722904473130491
1128,0,21,0.17201522140566183
1130,1510,8136,0.17177231963463768
1132,0,1,0.17156111758863446
1134,0,0,0.17138099793401196
1136,0,0,0.17123135041465432
1138,0,10,0.1711115718522045
1140,1377,3055,0.17102106614583334
1142,0,318,0.17095924427221476
1144,10,344,0.17092552428589514
1146,6,10,0.17091933131882797
1148,13,2,0.17094009758066875
1150,2150,3150,0.17098726235864348
1152,12,325,0.17106027201760554
1154,27,454,0.17115858000005346
1156,18,25,0.1712816468261309
1158,10,49,0.17142894009342768
1160,2332,3659,0.17159993447732091
1162,24,304,0.17179411173076886
1164,49,174,0.1720109606843394
1166,36,61,0.172249977246139
1168,26,24,0.17251066440187657
1170,2507,4450,0.1727925322151549
1172,15,80,0.17309509782676713
1174,47,18,0.17341788545547132
1176,33,40,0.17376042639742195
1178,133,102,0.17412225902651102
1180,2493,3535,0.17450292879415485
1182,240,73,0.17490198822952863
1184,63,79,0.17531899693921815
1186,42,53,0.17575352160766045
1188,98,34,0.1762051359966037
1190,2066,1638,0.17667342094570415
1192,79,48,0.17715796437209974
1194,56,27,0.17765836127058066
1196,41,53,0.17817421371338327
1198,130,111,0.17870513085063777
1200,6371,1316,0.17925072891000582
1202,103,69,0.17981063119650287
1204,45,50,0.18038446809313768
1206,163,56,0.18097187706030127
1208,331,21,0.18157250263605818
1210,979,1318,0.1821859964361323
1212,48,13,0.18281201715377193
1214,20,0,0.18345023055986331
1216,18,10,0.1841003095029734
1218,87,0,0.18476193390925033
1220,8499,1125,0.18543479078242342
1222,377,0,0.18611857420385292
1224,12,0,0.18681298533257262
1226,10,0,0.18751773240511227
1228,7,1,0.18823253073568935
1230,2967,2411,0.1889571027161452
1232,501,10,0.1896911778159449
1234,4,0,0.190434492582078
1236,83,0,0.19118679063923594
1238,7,0,0.1919478226897624
1240,3488,770,0.19271734651348282
1242,18,0,0.19349512696791749
1244,4,0,0.1942809359882034
1246,298,0,0.1950745525871369
1248,0,0,0.19587576285495345
1250,12369,104,0.19668435995971123
1252,5,0,0.19750014414695016
1254,1,0,0.19832292273989793
1256,61,0,0.1991525101393563
1258,38,0,0.19998872782370114
1260,3048,81,0.2008314043490529
1262,50,0,0.20168037534904926
1264,38,0,0.20253548353491624
1266,10,0,0.20339657869554628
1268,38,0,0.20426351769753381
1270,1355,29,0.2051361644848626
1272,2,0,0.20601439007928946
1274,14,0,0.20689807258015236
1276,43,0,0.2077870971645197
1278,8,0,0.20868135608683502
1280,3900,40,0.20958074867928644
1282,0,0,0.2104851813517854
1284,0,0,0.2113945675915616
1286,0,0,0.21230882796378125
1288,10,0,0.21322789011112775
1290,803,10,0.2141516887537236
1292,0,0,0.21508016568949273
1294,0,0,0.2160132697939261
1296,0,0,0.21695095702017397
1298,10,0,0.21789319039886124
1300,9072,1,0.2188399400383716
1302,36,0,0.21979118312466284
1310,827,0,0
1320,861,0,0
