Soybeans (OZS|ZS) ZS1Q6 (6.48 DTE) vs 1170.75 (+0) - Open Interest
Put: 1,863 Call: 666 Vol: 16.12 Vol Chg: -0.17 Future Chg: 0
Strike,Call,Put,Vol Settle
1100,0,100,0
1110,0,0,0.1943057765361118
1120,0,52,0.1768307121046746
1130,0,4,0.16638282924623127
1140,0,768,0.1609995120907115
1150,0,50,0.1590912262818165
1160,0,523,0.15944151894518654
1170,7,142,0.16120701872387144
1180,62,10,0.16391743574604334
1190,45,43,0.16747556165046262
1200,88,95,0.17215726957920197
1210,135,31,0.17861151416582288
1220,2,8,0.18786033154719917
1230,120,22,0.20129883935851467
1240,74,1,0.22069523674736047
