Soybeans (OZS|ZS) ZS1U6 (3.62 DTE) vs 1297.75 (+9.75) - Open Interest
Put: 5,508 Call: 1,702 Vol: 22.29 Vol Chg: 0.10 Future Chg: 9.75
Strike,Call,Put,Vol Settle
1220,119,567,0
1224,0,0,0.25253159602243613
1226,0,0,0.24728014981246815
1228,0,0,0.24249743604559626
1230,137,150,0.2381601882839277
1232,0,0,0.2342457340087094
1234,0,0,0.230731994645339
1236,0,0,0.22759748552061865
1238,0,0,0.224821315905956
1240,283,315,0.22238318898143916
1242,0,0,0.22026340187403548
1244,0,0,0.21844284561575478
1246,0,0,0.21690300518957883
1248,0,0,0.21562595948034868
1250,50,731,0.21459438131250863
1252,0,0,0.21379153743009738
1254,0,0,0.21320128851129994
1256,0,0,0.2128080891548052
1258,0,0,0.21259698787844172
1260,52,88,0.21255362714737203
1262,0,0,0.21266424332861789
1264,0,0,0.2129156667378993
1266,0,0,0.213295321593705
1268,0,0,0.21379122605912926
1270,110,108,0.2143919922141322
1272,0,0,0.21508682606690854
1274,0,0,0.2158655275570709
1276,0,0,0.2167184905401882
1278,0,0,0.21763670281416125
1280,108,230,0.21861174607875
1282,0,0,0.21963579598195793
1284,0,0,0.2207016220818332
1286,0,0,0.22180258788284846
1288,0,0,0.2229326507940641
1290,64,0,0.22408636216459854
1292,0,0,0.22525886725998134
1294,0,0,0.22644590527488617
1296,0,0,0.22764380934222572
1298,0,0,0.22884950649950042
1300,164,0,0.23006051773245417
1302,0,0,0.2312749579341471
1304,0,0,0.23249153593496885
1306,0,0,0.2337095544926342
1308,0,0,0.23492891027945006
1310,70,3,0.23615009390141495
1312,0,0,0.23737418989458092
1314,0,0,0.23860287671868718
1316,0,0,0.23983842675443157
1318,0,0,0.241083706311656
1320,40,0,0.24234217563480343
1322,0,0,0.2436178888729046
1324,0,0,0.24491549411959568
1326,0,0,0.24624023340038548
1328,0,0,0.24759794264718948
1330,3,0,0.24899505172470526
1332,0,0,0.25043858443314093
1334,0,0,0.2519361584973012
1336,0,0,0.2534959855465786
1338,0,0,0.2551268711613375
1340,42,0,0.2568382148429009
1342,0,0,0.2586400100171886
1344,0,0,0.2605428440283504
1346,0,0,0.2625578981560466
1348,0,0,0.26469694759725826
1350,2,0,0.2669723614890245
1352,0,0,0.26939710288661445
1360,0,0,0.28086939201511996
1370,0,0,0.30037241060836095
1380,0,0,0
