Soybean Oil (OZL|ZL) OZLU6 (16.19 DTE) vs 68.03 (-0.17) - Open Interest
Put: 49,002 Call: 80,298 Vol: 25.24 Vol Chg: 0.18 Future Chg: -0.17
Strike,Call,Put,Vol Settle
58,102,736,0
58.5,0,43,0
59,105,111,0
59.5,0,34,0
60,379,1160,0
60.5,0,941,0.282794495143186
61,16,497,0.27542864432217584
61.5,0,122,0.2690160984007157
62,18,1924,0.26350248249892516
62.5,0,599,0.2588353280393427
63,20,1783,0.25496407274717825
63.5,0,207,0.2518400606499007
64,259,1827,0.24941654207768238
64.25,0,0,0.2484533798461932
64.5,0,966,0.24764867366305054
64.75,1,4,0.24699711596710472
65,468,2588,0.24649351834109723
65.25,0,0,0.24613281151167143
65.5,40,435,0.245910045349369
65.75,0,162,0.24582038886864765
66,611,4166,0.24585913022792028
66.25,4,20,0.24602167672940567
66.5,88,636,0.24630355481931332
66.75,6,20,0.24670041008769772
67,1844,4883,0.24720800726860404
67.25,15,18,0.24782223023985495
67.5,589,745,0.24853908202327446
67.75,30,521,0.24935468478462752
68,937,971,0.2502652798334424
68.25,6,12,0.2512672276232628
68.5,265,499,0.2523570077515416
68.75,1056,5,0.2535312189595871
69,1022,2727,0.2547865791326309
69.25,10,0,0.256119925299803
69.5,360,792,0.25752821363417056
69.75,0,0,0.25900851945270986
70,3593,3147,0.26055803721625637
70.25,50,0,0.2621740805295687
70.5,783,158,0.2638540821413464
70.75,11,11,0.2655955939441057
71,2193,2456,0.26739628697436046
71.25,2,0,0.26925395141253006
71.5,98,540,0.2711664965828646
71.75,20,51,0.273131950953605
72,3604,2146,0.2751484621368263
72.25,225,3,0.2772142968885305
72.5,529,159,0.27932784110864617
72.75,0,0,0.28148759984101446
73,4138,2044,0.28369219727333217
73.25,8,0,0.285940376737301
73.5,670,511,0.288231000708393
73.75,211,0,0.2905630508060639
74,2561,423,0.2929356277937174
74.25,18,0,0.2953479515785489
74.5,1953,1141,0.29779936121175865
74.75,0,0,0.3002893148883814
75,8657,773,0.30281738994744956
75.25,0,0,0.3053832828717873
75.5,654,5,0.30798680928820943
75.75,1,0,0.3106279039674078
76,3983,30,0.3133066208239583
76.25,0,0,0.31602313291640627
76.5,697,629,0.31877773244711705
76.75,0,0,0.3215708307624894
77,2240,54,0.324402958352664
77.5,1126,1,0.33018701903795034
78,1150,0,0.3361365413028068
78.5,1326,0,0.34226005824968553
79,212,0,0.3485680092835537
79.5,226,0,0.35507274011159495
