SRW Wheat (OZW|ZW) ZW1U6 (3.62 DTE) vs 771.5 (-2.5) - Intraday Volume
Put: 15 Call: 5 Vol: 51.04 Vol Chg: -0.21 Future Chg: -2.5
Strike,Call,Put,Vol Settle
665,0,0,0
670,0,0,0
675,0,0,0
680,0,0,0
685,0,0,0.6065764407550205
690,0,0,0.5877130698777222
695,0,1,0.5711511971781107
700,0,4,0.556734197339324
705,0,0,0.5443118928303505
710,0,1,0.5337405539056732
715,0,0,0.5248828986058811
720,0,2,0.5176080927570439
725,0,0,0.5117917499708824
730,0,0,0.5073159316450244
735,0,0,0.5040691469628626
740,0,0,0.5019463528930146
745,0,2,0.5008489541904453
746,0,0,0.500744299436775
748,0,0,0.500644103174352
750,0,0,0.5006848033957567
752,0,0,0.5008610391193997
754,0,0,0.5011676144269757
755,0,1,0.5013682008348326
756,0,0,0.5015994984635768
758,0,0,0.5021518254370392
760,0,0,0.5028198946194209
762,0,0,0.5035991703456091
764,0,0,0.5044852820138317
765,0,0,0.5049670806475319
766,0,0,0.5054740240855153
768,0,0,0.5065613560855127
770,0,4,0.5077434026022161
772,0,0,0.5090164532869892
774,0,0,0.5103769628547354
775,0,0,0.5110889519525301
776,0,0,0.5118215510835853
778,0,0,0.5133470028146974
780,0,0,0.5149502679534237
782,0,0,0.5166284614672065
784,0,0,0.518378863387909
785,1,0,0.519280337645057
786,0,0,0.5201989188098253
788,0,0,0.5220862378915285
790,0,0,0.5240385958539093
792,0,0,0.5260539329815686
794,0,0,0.5281303546229026
795,0,0,0.5291909251918412
796,0,0,0.530266131188597
798,0,0,0.5324596981539855
800,0,0,0.5347096560560942
802,1,0,0.5370147704970236
804,0,0,0.5393739721406803
805,0,0,0.5405735666307692
806,0,0,0.5417863567150221
808,0,0,0.5442511850115466
810,0,0,0.5467678828844384
812,0,0,0.5493360412515074
814,0,0,0.5519554160940459
815,0,0,0.5532842785721641
816,0,0,0.5546259284561472
818,0,0,0.557347664445814
820,0,0,0.5601208752343041
822,0,0,0.5629459770554206
825,0,0,0.5672822421971659
830,0,0,0.5747793965727794
835,0,0,0.5826298032586124
840,0,0,0.5908573749383947
845,0,0,0.5994924720810957
850,0,0,0.6085719029416907
855,0,0,0.6181389235605081
860,0,0,0.6282432377639964
865,0,0,0.6389409971644113
870,0,0,0.650294801159049
875,0,0,0.6623736969319225
880,0,0,0.6752531794515448
885,0,0,0.6890151914734588
890,0,0,0.7037481235377072
895,0,0,0.7195468139713057
