SRW Wheat (OZW|ZW) OZWV6 (24.62 DTE) vs 771.5 (-2.5) - Open Interest
Put: 38,338 Call: 53,851 Vol: 39.62 Vol Chg: -0.41 Future Chg: -2.5
Strike,Call,Put,Vol Settle
565,10,292,0
570,0,786,0
575,22,158,0
580,12,213,0
585,17,168,0
590,2,409,0
595,14,177,0
600,36,1253,0
605,30,225,0
610,34,1276,0
615,57,760,0
620,74,1579,0
625,75,599,0.4175431474243574
630,61,2087,0.4115267350369338
635,27,1106,0.40602805339756776
640,58,2207,0.401028787174988
645,94,1309,0.39651094364332273
650,183,3269,0.39245685268212016
655,222,529,0.38884916677631853
660,551,2108,0.3856708610162878
665,299,345,0.3829052330977669
666,2,195,0.3824001817636917
668,0,232,0.38143711433548866
670,662,1417,0.38053590332194
672,0,287,0.37969552726309885
674,0,219,0.3789149729576966
675,626,1748,0.3785468145953841
676,0,206,0.37819323546318007
678,0,280,0.3775293180956947
680,986,1127,0.37692223243007916
682,0,98,0.3763709982998522
684,0,49,0.37587464379726043
685,152,452,0.375646744943392
686,0,144,0.3754322052732437
688,17,59,0.3750427273374308
690,1731,937,0.3747052628581411
692,0,148,0.37441887296241827
694,0,37,0.37418262703598426
695,339,244,0.37408301950253
696,13,30,0.37399560272326315
698,20,141,0.3738568859273741
700,1690,1744,0.3737655708101508
702,22,41,0.37372075979210617
704,11,42,0.37372156355245423
705,194,182,0.3737387953200244
706,1,47,0.37376710102912014
708,9,18,0.3738564994187197
710,840,299,0.3739888941765681
712,12,107,0.37416342901667665
714,13,19,0.374379255911756
715,1633,593,0.37450239112961725
716,37,75,0.374635535093212
718,15,25,0.3749314350511561
720,1324,262,0.37526613253440644
722,3,8,0.3756388125504566
724,40,36,0.3760486683654962
725,777,1092,0.3762672873515749
726,25,121,0.3764949015044472
728,151,27,0.3769767217508999
730,441,500,0.3774933471471602
732,45,115,0.378044003994221
734,48,127,0.37862792685177027
735,724,121,0.37893212609263394
736,20,11,0.3792443585382177
738,0,61,0.37989255013064316
740,1385,214,0.3805717609648447
742,0,9,0.3812812586353074
744,9,40,0.38202031899521405
745,445,215,0.38240071114606433
746,10,12,0.3827882261564497
748,0,122,0.38358427248961036
750,5253,1070,0.38440775862397114
752,0,1,0.38525799344751643
754,1,37,0.38613429410691946
755,407,27,0.38658200799164355
756,0,0,0.38703598600756095
758,9,0,0.38796240281351757
760,1879,21,0.3889128864475735
762,20,20,0.3898867870911831
764,0,10,0.39088346318452594
765,278,65,0.39139014379564596
766,0,0,0.3919022814264812
768,11,1,0.3929426167746044
770,1369,24,0.3940038524451568
772,1,6,0.3950853799131284
774,0,0,0.3961865989121609
775,1420,40,0.39674440741084194
776,8,0,0.39730691743463353
778,11,10,0.3984457517315878
780,3424,22,0.3996025263127967
782,2,9,0.4007766739467069
784,0,1,0.40196763566048155
785,332,78,0.4025692493765263
786,0,0,0.4031748607399628
788,0,0,0.4043978067297207
790,418,16,0.40563593943299736
792,0,0,0.40688873291173344
794,0,0,0.40815566948659665
795,278,18,0.40879428191850664
796,0,0,0.40943623973691423
798,0,0,0.41072994250074757
800,3395,25,0.41203628487483357
802,0,0,0.4133547822145882
804,0,0,0.4146849581341936
805,222,6,0.4153542789490885
806,0,0,0.4160263445064576
808,0,0,0.41737848146292755
810,769,14,0.418740917393837
812,0,0,0.42011320894812876
814,0,0,0.42149492103340513
815,348,36,0.4221891760670591
816,0,0,0.4228856268160346
818,0,0,0.42428490772102734
820,566,18,0.4256923534321029
822,0,0,0.42710756189170596
825,1190,0,0.4292440705577576
830,2446,10,0.4328382711181842
835,205,4,0.43646922139297395
840,424,1,0.44013151026714326
845,103,1,0.4438200492310802
850,3784,1,0.44753007238058373
855,137,1,0.4512571364168796
860,200,0,0.45499712064658304
865,58,0,0.45874622698173084
870,68,0,0.46250097993974926
875,109,7,0.4662582266434736
880,308,0,0.4700151368211749
885,39,2,0.4737692028064764
890,142,2,0.4775182395384636
895,41,1,0.4812603845615957
900,3267,9,0.48499409802574966
905,125,2,0.48871816268619916
910,128,0,0.49243168390363223
915,2,0,0.4961340896441566
920,118,1,0.49982513047925714
925,650,0,0.5035048795858508
930,218,2,0.5071737327462564
935,20,0,0.5108324083481861
940,125,20,0.5144819473847697
945,0,0,0.518123713454532
950,119,0,0.5217593927614423
955,0,0,0.5253909941148223
960,187,0,0.5290208489294344
965,0,0,0.5326516112254467
970,129,3,0.536286257628408
975,0,0,0.5399280873693222
980,173,2,0.5435807222845241
990,71,2,0.5509345080104779
1000,1125,2,0.5583830416054312
1010,281,3,0.5659669115550905
1020,74,3,0.5737318680316257
1030,176,6,0.5817288228937585
1040,116,0,0.5900138496866703
