SRW Wheat (OZW|ZW) OZWU6 (20.49 DTE) vs 639.25 (+0) - Open Interest
Put: 82,532 Call: 132,374 Vol: 32.17 Vol Chg: 0.09 Future Chg: 0
Strike,Call,Put,Vol Settle
510,1,210,0
515,0,396,0
520,9,1462,0
525,120,903,0
530,0,2328,0
535,0,182,0
540,1,731,0
545,1,745,0
550,140,5375,0.3181733056640361
555,711,1449,0.3113362888669826
560,544,2637,0.3056428777390021
565,38,331,0.30102678185444276
570,255,2610,0.29742357034891675
575,117,1786,0.2947706719195189
580,545,2971,0.2930073748246347
585,121,899,0.2920748268840061
590,1249,1842,0.29191603547876
595,198,613,0.2924758675514507
600,825,4968,0.29370104960585053
605,1296,1844,0.29554016770723734
610,1723,2252,0.2979436674822047
615,874,1566,0.3008638541186528
620,3515,5502,0.3042548923659467
625,1632,797,0.3080728065347387
628,1,154,0.31055085781134295
630,1772,4754,0.31227548049706755
632,0,52,0.3140552028720158
634,0,204,0.3158875318242593
635,842,1811,0.3168226576863731
636,105,144,0.317770021846691
638,3,200,0.3197002750369471
640,2523,3241,0.3216759410973573
642,33,74,0.3236947173351936
644,2,53,0.325754348662322
645,364,709,0.3267987932862404
646,4,177,0.3278526275954512
648,30,190,0.32998739425609
650,6638,5249,0.3321565363705119
652,23,37,0.3343579892697086
654,20,19,0.3365897358895005
655,933,1226,0.33771635202894856
656,74,16,0.33884980677042265
658,39,13,0.3411362800578779
660,4462,2114,0.34344728150188075
662,13,47,0.34578098445739514
664,39,46,0.34813560988402514
665,723,1068,0.34932022559083364
666,38,59,0.35050942634623894
668,110,36,0.352900750013184
670,2829,854,0.35530794465881854
672,36,48,0.35772942166192934
674,55,9,0.3601636400059718
675,1340,786,0.3613850586301304
676,24,25,0.3626091062792298
678,70,12,0.3650643746747768
680,4646,2327,0.36752804699041164
682,160,31,0.36999877262873326
684,27,25,0.37247524859711945
685,508,129,0.3737152487868016
686,15,13,0.3749562195076557
688,15,14,0.3774404775772844
690,2875,2880,0.3799268626276664
692,25,2,0.3824142620852058
694,50,11,0.384901610981192
695,1594,84,0.3861449466827196
696,24,1,0.38738789195151924
698,18,1,0.3898721352370238
700,14491,2089,0.39235341868323204
702,28,4,0.39483086774037446
704,3,0,0.3973036554635918
705,413,67,0.3985380559215912
706,32,0,0.3997710025126864
708,23,0,0.40223217715229254
710,1998,109,0.4046864952517737
715,486,72,0.41078823308892964
720,3220,97,0.41683462540968463
725,615,64,0.42281888775201537
730,1662,68,0.4287360952152426
735,271,13,0.43458318246004524
740,4968,113,0.44035894370848894
745,1515,1,0.44606403274400463
750,13849,14,0.451700962911346
755,714,1,0.4572741071166959
760,2597,1,0.4627896978275601
765,618,1,0.46825582707280233
770,1746,1,0.4736824464426732
775,587,1,0.47908136708876725
780,1572,10,0.48446625972403723
785,659,0,0.4898526546228439
790,1862,0,0.4952579416209133
795,213,0,0.5007013701152516
800,8910,11,0.5062040490642872
