SRW Wheat (OZW|ZW) ZW1U6 (3.61 DTE) vs 771.25 (-2.75) - Open Interest
Put: 3,356 Call: 3,054 Vol: 51.04 Vol Chg: -0.21 Future Chg: -2.75
Strike,Call,Put,Vol Settle
665,0,18,0
670,0,96,0
675,3,905,0
680,3,6,0
685,3,12,0.6065764407550205
690,16,121,0.5877130698777222
695,80,96,0.5711511971781107
700,114,247,0.556734197339324
705,42,16,0.5443118928303505
710,27,124,0.5337405539056732
715,40,28,0.5248828986058811
720,59,13,0.5176080927570439
725,43,76,0.5117917499708824
730,93,31,0.5073159316450244
735,12,118,0.5040691469628626
740,83,229,0.5019463528930146
745,3,109,0.5008489541904453
746,0,0,0.500744299436775
748,0,0,0.500644103174352
750,59,26,0.5006848033957567
752,0,0,0.5008610391193997
754,0,0,0.5011676144269757
755,24,21,0.5013682008348326
756,0,0,0.5015994984635768
758,0,0,0.5021518254370392
760,24,21,0.5028198946194209
762,0,0,0.5035991703456091
764,0,0,0.5044852820138317
765,20,0,0.5049670806475319
766,0,0,0.5054740240855153
768,0,0,0.5065613560855127
770,104,50,0.5077434026022161
772,0,0,0.5090164532869892
774,0,0,0.5103769628547354
775,14,14,0.5110889519525301
776,0,0,0.5118215510835853
778,0,0,0.5133470028146974
780,141,0,0.5149502679534237
782,0,0,0.5166284614672065
784,0,0,0.518378863387909
785,129,2,0.519280337645057
786,0,0,0.5201989188098253
788,0,0,0.5220862378915285
790,500,34,0.5240385958539093
792,0,0,0.5260539329815686
794,0,0,0.5281303546229026
795,16,0,0.5291909251918412
796,0,0,0.530266131188597
798,0,0,0.5324596981539855
800,111,4,0.5347096560560942
802,0,0,0.5370147704970236
804,0,0,0.5393739721406803
805,201,0,0.5405735666307692
806,0,0,0.5417863567150221
808,0,0,0.5442511850115466
810,29,0,0.5467678828844384
812,0,0,0.5493360412515074
814,0,0,0.5519554160940459
815,10,0,0.5532842785721641
816,0,0,0.5546259284561472
818,0,0,0.557347664445814
820,504,0,0.5601208752343041
822,0,0,0.5629459770554206
825,200,0,0.5672822421971659
830,6,0,0.5747793965727794
835,8,0,0.5826298032586124
840,10,0,0.5908573749383947
845,11,0,0.5994924720810957
850,54,0,0.6085719029416907
855,0,0,0.6181389235605081
860,11,0,0.6282432377639964
865,112,0,0.6389409971644113
870,45,0,0.650294801159049
875,0,0,0.6623736969319225
880,4,0,0.6752531794515448
885,14,2,0.6890151914734588
890,0,0,0.7037481235377072
895,0,0,0.7195468139713057
