S&P 500 (ES|ES) E1CQ6 (0.12 DTE) vs 7768.25 (+2.75) - Intraday Volume
Put: 133,087 Call: 215,851 Vol: 18.88 Vol Chg: 3.31 Future Chg: 2.75
Strike,Call,Put,Vol Settle
7690,19,1327,0.1797886999847833
7695,3,728,0.17721981565409806
7700,138,15966,0.17476095700112637
7705,335,709,0.17241595079394756
7710,41,1935,0.17018845611892175
7715,326,1365,0.16808196413330734
7720,1032,2691,0.16609979831264354
7725,335,3603,0.16424511402874487
7730,51,2191,0.16252089905901812
7735,62,1568,0.16092997327359626
7740,139,3446,0.15947498860623455
7745,201,2042,0.15815842930896906
7750,327,11784,0.15698261173383798
7755,342,2338,0.15594968437653733
7760,744,3620,0.1550616278545931
7765,1263,2270,0.15432025508198421
7770,1349,3458,0.15372721103631193
7775,2023,2635,0.15328397288249107
7780,2017,3234,0.15299184995819815
7785,2419,2043,0.1528519837447675
7790,3247,3682,0.15286534794722684
7795,1977,1493,0.15303274831967428
7800,9547,3200,0.15335482291993685
7805,2001,682,0.15383204187673982
7810,3957,762,0.15446470746246632
7815,3149,1335,0.15525295426050434
7820,6355,273,0.1561967487941729
7825,3504,149,0.15729588995600352
7830,3311,247,0.15855000869487412
7835,3585,116,0.15995856818335596
7840,2775,365,0.1615208636794705
7845,2163,127,0.1632360226722085
