S&P 500 (ES|ES) ESU6 (17.28 DTE) vs 7697.25 (-1.75) - Open Interest
Put: 421,952 Call: 253,810 Vol: 11.47 Vol Chg: 0.04 Future Chg: -1.75
Strike,Call,Put,Vol Settle
7140,0,74,0.2082695705638571
7150,816,4526,0.20634457773195436
7160,0,193,0.20442271289667246
7170,0,156,0.2025041518131161
7175,172,1266,0.20154616848887486
7180,0,53,0.20058908262356567
7190,0,34,0.19867770585670996
7200,2767,14603,0.19677023442869768
7210,0,105,0.1948668936421143
7220,0,178,0.19296792118652206
7225,225,958,0.1920201507480499
7230,0,119,0.1910735671386874
7240,1,55,0.1891840939616145
7250,2303,8727,0.187299776505796
7260,0,142,0.18542090200818961
7270,0,98,0.18354777009287204
7275,166,1772,0.18261345462323675
7280,0,77,0.18168069277078303
7290,0,117,0.17981999443969698
7300,4194,6154,0.17796601188385353
7310,2,240,0.17611909427526484
7320,0,309,0.17427960317183988
7325,214,4222,0.17336275893384823
7330,0,203,0.1724479125191749
7340,1,78,0.17062440864938822
7350,1743,9796,0.1688094902812054
7360,0,89,0.16700356852075515
7370,0,77,0.16520706686063136
7375,987,2171,0.16431248429688594
7380,0,98,0.1634204211806889
7390,0,119,0.16164407974713413
7400,7158,9651,0.15987850321360497
7410,1,144,0.15812416462023293
7420,0,106,0.15638154939409787
7425,1091,2056,0.15551479312691185
7430,1,867,0.15465115534939855
7440,0,82,0.1529334926869126
7450,4908,5887,0.15122908399430912
7460,1,99,0.14953846424648987
7470,0,416,0.14786218080470803
7475,1799,2095,0.1470295896360767
7480,0,132,0.14620079341747783
7490,0,203,0.14455487422009128
7500,4064,11340,0.14292500773458983
7510,0,328,0.14131179087007695
7520,5,527,0.1397158329223771
7525,5351,5534,0.13892451983437581
7530,6,188,0.1381377555742347
7540,12,404,0.13657819289545614
7550,2856,10674,0.13503779134242677
7560,19,163,0.13351720975870762
7570,10,71,0.1320171193742965
7575,1198,1399,0.1312749715285122
7580,9,128,0.13053820380662273
7590,17,421,0.12908115905969453
7600,5922,6692,0.12764669352424107
7610,11,96,0.12623552797808202
7620,39,210,0.12484839558595695
7625,837,2311,0.12416407432357346
7630,7,331,0.12348604189938328
7640,492,367,0.12214922485676993
7650,2602,5014,0.12083871478338892
7660,137,120,0.11955529439146062
7670,658,186,0.11829975877984111
7675,1425,1515,0.11768269962226441
7680,209,262,0.11707291543461906
7690,291,495,0.11587558422857569
7700,6802,4375,0.11470859742129846
7710,294,145,0.11357279965938005
7720,380,278,0.11246904797630464
7725,1749,969,0.11192946062422493
7730,309,68,0.11139821179213527
7740,191,51,0.11036117291425285
7750,3833,1418,0.10935882553658871
7760,262,36,0.10839207624024993
7770,194,61,0.10746184399286562
7775,2935,1376,0.10701071232699633
7780,109,23,0.10656906014912693
7790,371,18,0.10571466845058808
7800,10483,1789,0.10489962502572325
7810,1133,23,0.10412489838989814
7820,401,214,0.10339146944514255
7825,3355,309,0.10304055152587921
7830,264,5,0.10270033148063362
7835,757,3,0.10237093540573028
7840,781,21,0.10205249017209894
7850,6066,329,0.10144896358258393
7860,966,23,0.10089078216171288
7870,782,2,0.10037898874594475
7875,3252,328,0.10014081681356402
7880,363,5,0.09991463855882898
7890,598,4,0.0994987992106644
7900,7538,954,0.09913255069858451
7910,312,0,0.09881698540655748
7920,416,2,0.09855320810575563
7925,1592,312,0.09844108857993206
7930,242,2,0.09834233595393016
7940,158,1,0.09818549849572378
7950,7434,220,0.09808383766264228
7960,331,0,0.09803850777319667
7970,504,0,0.09805067553276103
7975,1684,54,0.09807868901336292
7980,138,0,0.09812152003340202
7990,185,0,0.09825223275444728
8000,12718,273,0.09844401756146226
8010,380,0,0.09869809070758606
8020,434,2,0.09901568083242296
8025,3329,4,0.09919868209888705
8030,361,0,0.09939802896255401
8040,104,1,0.09984638851136651
8050,4659,90,0.10036202527933824
8060,184,0,0.10094621745352583
8070,182,0,0.10160025560796271
8075,2589,4,0.10195387361932262
8080,45,0,0.10232544270391486
8090,58,0,0.10312309408888609
8100,9083,43,0.10399453749772647
8110,283,1,0.10494111305200704
8120,11,0,0.10596417326033247
8125,2244,0,0.10650481115550292
8150,3978,1,0
8175,1483,4,0
8200,10420,210,0
8225,867,0,0
8250,3668,2,0
8275,2492,0,0
