S&P 500 (ES|ES) ESU6 (48.16 DTE) vs 7519.25 (+0) - Open Interest
Put: 346,984 Call: 194,868 Vol: 13.48 Vol Chg: 0.03 Future Chg: 0
Strike,Call,Put,Vol Settle
6500,1622,7382,0.25732954298450395
6525,0,415,0.2541332670527048
6550,166,2048,0.2509342862725106
6575,0,387,0.24773277592215237
6600,366,4054,0.24452899847691612
6625,0,299,0.2413233036092599
6650,301,2406,0.23811612818879624
6675,0,356,0.2349079962823204
6700,1263,7785,0.23169951915371456
6725,194,1384,0.22849139526398332
6750,1418,5343,0.22528441027138513
6775,0,405,0.22207943703121558
6800,1133,16402,0.21887743559596728
6825,0,1383,0.21567945321526594
6850,1733,8992,0.21248662433590937
6875,0,457,0.20930017060178585
6900,1878,5043,0.20612140085399133
6925,0,2757,0.2029517111307051
6950,949,1987,0.19979258466729277
6975,6,647,0.19664559189625663
7000,4120,17813,0.19351239044722846
7025,43,1180,0.19039472514701927
7050,1097,2909,0.18729442801955543
7075,50,655,0.1842134182859212
7100,1615,6819,0.18115370236436235
7125,62,2839,0.17811737387018312
7150,816,3799,0.17510661361597712
7175,172,949,0.1721236896113787
7200,3367,13907,0.1691709570631872
7225,225,666,0.1662508583753457
7250,2300,7128,0.16336592314896947
7275,129,949,0.16051876818231747
7300,4361,4451,0.15771209747072845
7325,183,1948,0.15494870220679857
7350,1766,9482,0.1522314607801647
7375,987,1415,0.14956333877765715
7400,7246,5829,0.14694738898326065
7425,750,541,0.14438675137805745
7450,5057,3462,0.14188465314036236
7475,1802,1071,0.13944440864551666
7500,4923,5109,0.1370694194661155
7525,5090,4831,0.13476317437184804
7550,5442,11442,0.13252924932951515
7575,1240,797,0.13037130750317516
7600,6144,3338,0.12829309925389865
7625,637,367,0.12629846213998874
7650,2741,3350,0.12439132091686034
7675,636,145,0.12257568753707204
7700,7452,2075,0.1208556611503937
7725,796,123,0.1192354281035719
7750,3817,392,0.11771926194070659
7775,1089,49,0.11631152340293482
7800,11267,409,0.11501666042848768
7825,2395,30,0.11383920815288917
7850,3732,161,0.11278378890865781
7875,2499,36,0.1118551122255127
7900,5281,684,0.11105797483040902
7925,1426,27,0.1103972606473107
7950,6082,133,0.10987794079739643
7975,607,17,0.1095050735989389
8000,7395,290,0.10928380456744691
8025,875,0,0.109219366415509
8050,2807,23,0.10931707905285037
8075,1565,2,0.10958234958636837
8100,5748,9,0.11002067232011115
8125,695,0,0.1106376287552564
8150,1963,0,0.11143888759013976
8175,545,0,0.11243020472020504
8200,4420,209,0.11361742323811796
8225,318,0,0.1150064734335956
8250,3613,2,0.11660337279352717
8275,560,0,0.11841422600208773
8300,5050,1,0.12044522494028342
8325,540,0,0.12270264868666914
8350,1354,0,0.12519286351654557
8375,542,0,0.12792232290269112
8400,3585,0,0
8450,1659,0,0
8500,9252,7,0
8550,1926,10,0
8600,2922,3,0
8650,439,0,0
