S&P MidCap 400 (EMD|EMD) EMDU6 (43.85 DTE) vs 3870.8 (-13.9) - Intraday Volume
Put: 0 Call: 0 Vol: 25.00 Vol Chg: 25.00 Future Chg: -13.9
Strike,Call,Put,Vol Settle
3000,0,0,0
3100,0,0,0
3200,0,0,0
3300,0,0,0
3400,0,0,0
3500,0,0,0
3600,0,0,0
3700,0,0,0
3800,0,0,0
3815,0,0,0
3820,0,0,0
3825,0,0,0
3830,0,0,0
3835,0,0,0
3840,0,0,0
3845,0,0,0
3850,0,0,0
3855,0,0,0
3860,0,0,0
3865,0,0,0
3870,0,0,0
3875,0,0,0
3880,0,0,0
3885,0,0,0
3890,0,0,0
3895,0,0,0
3900,0,0,0
3905,0,0,0
3910,0,0,0
3915,0,0,0
3920,0,0,0
3925,0,0,0
3930,0,0,0
3935,0,0,0
3940,0,0,0
3945,0,0,0
3950,0,0,0
3955,0,0,0
3960,0,0,0
3965,0,0,0
4000,0,0,0
4100,0,0,0
4200,0,0,0
4300,0,0,0
4400,0,0,0
