WTI Crude Oil (LC|CL) LCU6 (12.17 DTE) vs 75.41 (-0.36) - Open Interest
Put: 6,830 Call: 6,830 Vol: 25.00 Vol Chg: -8.37 Future Chg: -0.36
Strike,Call,Put,Vol Settle
66,0,0,0.217153785
66.5,0,0,0.223627341
67,0,0,0.230100897
67.5,0,0,0.236574452
68,0,0,0.243048008
68.5,0,0,0.249521564
69,0,0,0.25599512
69.5,0,0,0.262468676
70,0,0,0.268942231
70.5,0,0,0.275415787
71,0,0,0.281889343
71.5,0,0,0.288362899
72,0,0,0.294836455
72.5,0,0,0.30131001
73,0,0,0.307783566
73.5,0,0,0.314257122
74,0,0,0.320730678
74.5,0,0,0.327204234
75,0,0,0.333677789
75.5,0,0,0.340151345
76,0,0,0.346624901
76.5,0,0,0.353098457
77,0,0,0.359572013
77.5,0,0,0.366045568
78,0,0,0.372519124
78.5,0,0,0.37899268
79,0,0,0.385466236
79.5,0,0,0.391939792
80,0,0,0.398413347
80.5,0,0,0.404886903
81,0,0,0.411360459
81.5,0,0,0.417834015
82,0,0,0.424307571
82.5,0,0,0.430781126
83,0,0,0.437254682
83.5,0,0,0.443728238
84,0,0,0.450201794
84.5,0,0,0.45667535
85,0,0,0.463148905
85.5,0,0,0.469622461
86,0,0,0.476096017
