WTI Crude Oil (LO|CL) ML1Q6 (2.38 DTE) vs 84.67 (+0) - Intraday Volume
Put: 0 Call: 0 Vol: 52.90 Vol Chg: 0.19 Future Chg: 0
Strike,Call,Put,Vol Settle
74.5,0,0,0
74.75,0,0,0
75,0,0,0
75.25,0,0,0
75.5,0,0,0
75.75,0,0,0
76,0,0,0
76.25,0,0,0
76.5,0,0,0
76.75,0,0,0
77,0,0,0.532137923014659
77.25,0,0,0.528885628158207
77.5,0,0,0.5259915018462493
77.75,0,0,0.5234364291313227
78,0,0,0.5212018357538284
78.25,0,0,0.5192696881417476
78.5,0,0,0.5176224934110394
78.75,0,0,0.5162432993646462
79,0,0,0.5151156944939999
79.25,0,0,0.5142238079779133
79.5,0,0,0.5135523096822396
79.75,0,0,0.5130864101618045
80,0,0,0.512811860658104
80.25,0,0,0.5127149531007547
80.5,0,0,0.5127825201066969
80.75,0,0,0.5130019349809345
81,0,0,0.5133611117157955
81.25,0,0,0.5138485049919268
81.5,0,0,0.5144531101765892
81.75,0,0,0.5151644633258456
82,0,0,0.5159726411828842
82.25,0,0,0.5168682611781037
82.5,0,0,0.5178424814309892
82.75,0,0,0.5188870007474407
83,0,0,0.5199940586209664
83.25,0,0,0.5211564352339337
83.5,0,0,0.5223674514554659
83.75,0,0,0.5236209688424651
84,0,0,0.5249113896396125
84.25,0,0,0.5262336567795387
84.5,0,0,0.5275832538819145
84.75,0,0,0.5289562052549286
85,0,0,0.530349075894037
85.25,0,0,0.5317589714817359
85.5,0,0,0.5331835383897214
85.75,0,0,0.5346209636756498
86,0,0,0.5360699750860931
86.25,0,0,0.5375298410548908
86.5,0,0,0.5390003707034907
86.75,0,0,0.5404819138412336
87,0,0,0.5419753609646136
87.25,0,0,0.5434821432587
87.5,0,0,0.5450042325952609
87.75,0,0,0.5465441415347527
88,0,0,0.5481049233243311
88.25,0,0,0.5496901718993286
88.5,0,0,0.5513040218832543
88.75,0,0,0.5529511485862599
89,0,0,0.5546367680069579
89.25,0,0,0.5563666368309441
89.5,0,0,0.5581470524322185
89.75,0,0,0.5599848528721054
90,0,0,0.561887416899765
90.25,0,0,0.5638626639524205
90.5,0,0,0.5659190541534258
90.75,0,0,0.5680655883159602
91,0,0,0.570311807938765
91.25,0,0,0.5726677952102364
91.5,0,0,0.5751441730050715
91.75,0,0,0.5777521048862582
92,0,0,0.5805032951046769
92.25,0,0,0.5834099885974524
92.5,0,0,0.5864849709913642
92.75,0,0,0.5897415686001182
93,0,0,0.5931936484244602
93.25,0,0,0.5968556181533131
93.5,0,0,0.6007424261636061
93.75,0,0,0.604869561519422
94,0,0,0.6092530539726795
94.25,0,0,0.6139094739631901
94.5,0,0,0.6188559326184873
94.75,0,0,0.624110081753372
95,0,0,0
95.25,0,0,0
95.5,0,0,0
95.75,0,0,0
96,0,0,0
