WTI Crude Oil (LO|CL) LOV6 (16.56 DTE) vs 87.01 (+1.25) - Open Interest
Put: 314,269 Call: 249,730 Vol: 41.76 Vol Chg: 0.34 Future Chg: 1.25
Strike,Call,Put,Vol Settle
66.5,158,267,0
67,2372,3691,0
67.5,163,1062,0
68,3647,7697,0
68.5,493,1426,0.5374253960163795
69,817,3557,0.5294070677093439
69.5,77,532,0.5216748782121572
70,5586,32725,0.5142285130075881
70.5,186,1433,0.5070675166303564
71,481,30825,0.5001912926671439
71.5,329,902,0.4935991037565812
72,1412,7237,0.4872900715892605
72.5,935,1784,0.4812631769077287
73,1127,5119,0.4755172595064878
73.5,290,1422,0.47005101823199524
74,3003,30388,0.46486301098266747
74.5,706,539,0.45995165470887356
75,7710,15492,0.45531522541294045
75.5,313,283,0.45095185814915206
76,536,4886,0.44685954702374486
76.5,1467,1336,0.4430361451949145
77,2658,3435,0.43947936487281103
77.5,475,2818,0.43618677731954403
78,1193,3095,0.4331558128491726
78.5,1123,1536,0.430383760827719
79,1031,1573,0.42786776967315676
79.5,164,1122,0.42560484685541544
80,10284,16003,0.4235918588963852
80.5,296,1217,0.42182553136990686
81,2024,1715,0.4203024489017828
81.5,772,515,0.4190190551697599
82,2809,2092,0.41797165290355576
82.5,1694,1692,0.41715640388483965
83,2502,888,0.4165693289472294
83.5,1115,717,0.41620630797630476
84,821,2894,0.41606307990960634
84.5,1234,991,0.4161352427366216
85,20545,3757,0.41641825349879813
85.5,1805,659,0.41690742828954086
86,2552,525,0.41759794225420244
86.5,1389,354,0.41848482959011335
87,1155,855,0.41956298354652777
87.5,1458,225,0.4208271564246875
88,2350,343,0.42227195957776953
88.5,729,122,0.42389186341090745
89,1512,39,0.4256811973812127
89.5,1652,184,0.427634149997723
90,27087,1319,0.4297447688214495
90.5,451,131,0.4320069604653627
91,621,98,0.43441449059437787
91.5,1013,98,0.4369609839253652
92,1866,82,0.4396399242271656
92.5,1644,21,0.4424446543205667
93,2349,8,0.4453683760783065
93.5,600,17,0.44840415042508663
94,2046,18,0.4515448973375662
94.5,1207,18,0.45478339584435634
95,10051,495,0.4581122840260221
95.5,508,15,0.46152405901509574
96,1467,9,0.4650110769960456
96.5,218,3,0.4685655532053232
97,1243,27,0.4721795619313056
97.5,658,7,0.47584503651435384
98,1376,6,0.4795537693467651
98.5,307,21,0.4832974118727975
99,789,120,0.4870674745886774
99.5,69,3,0.4908553270425635
100,20826,422,0.494652197834597
100.5,179,9,0.49844917461685867
101,1466,4,0.5022372040933849
101.5,150,5,0.5060070920201785
102,925,16,0.509749503205196
102.5,724,5,0.5134549615083301
103,622,3,0.5171138498414596
103.5,199,2,0.520716410168399
104,985,14,0.5242527435049311
104.5,271,3,0.5277128099187873
105,4560,19,0.5310864285296475
105.5,385,3,0.5343632775091702
106,478,5,0.5375328940809503
106.5,172,6,0.5405846745205451
107,371,5,0.5435078741554644
107.5,464,6,0.5462916073651822
108,588,5,0.548924847581123
108.5,91,9,0.5513964272866598
109,276,4,0.5536950380171497
109.5,108,8,0.5558092303598681
110,8758,8,0.5577274139540691
110.5,39,0,0.5594378574909555
111,251,1,0
111.5,154,3,0
112,220,2,0
112.5,72,0,0
113,196,3,0
