WTI Crude Oil (LO|CL) ML1Q6 (2.38 DTE) vs 84.67 (+0) - Open Interest
Put: 3,893 Call: 10,121 Vol: 52.90 Vol Chg: 0.19 Future Chg: 0
Strike,Call,Put,Vol Settle
74.5,3,12,0
74.75,0,5,0
75,3,62,0
75.25,4,1,0
75.5,1,1014,0
75.75,0,3,0
76,1,22,0
76.25,2,8,0
76.5,0,13,0
76.75,0,55,0
77,1,66,0.532137923014659
77.25,1,12,0.528885628158207
77.5,0,151,0.5259915018462493
77.75,1,2,0.5234364291313227
78,8,54,0.5212018357538284
78.25,0,2,0.5192696881417476
78.5,4,30,0.5176224934110394
78.75,0,5,0.5162432993646462
79,8,80,0.5151156944939999
79.25,1,10,0.5142238079779133
79.5,2,109,0.5135523096822396
79.75,2,1,0.5130864101618045
80,12,399,0.512811860658104
80.25,1,24,0.5127149531007547
80.5,2,13,0.5127825201066969
80.75,2,8,0.5130019349809345
81,162,182,0.5133611117157955
81.25,4,14,0.5138485049919268
81.5,7,19,0.5144531101765892
81.75,7,121,0.5151644633258456
82,14,398,0.5159726411828842
82.25,11,44,0.5168682611781037
82.5,10,165,0.5178424814309892
82.75,4,10,0.5188870007474407
83,112,29,0.5199940586209664
83.25,3,2,0.5211564352339337
83.5,47,36,0.5223674514554659
83.75,2,51,0.5236209688424651
84,52,62,0.5249113896396125
84.25,13,3,0.5262336567795387
84.5,88,74,0.5275832538819145
84.75,29,13,0.5289562052549286
85,381,29,0.530349075894037
85.25,11,2,0.5317589714817359
85.5,236,1,0.5331835383897214
85.75,16,2,0.5346209636756498
86,153,3,0.5360699750860931
86.25,4,2,0.5375298410548908
86.5,21,2,0.5390003707034907
86.75,11,17,0.5404819138412336
87,485,10,0.5419753609646136
87.25,16,2,0.5434821432587
87.5,87,4,0.5450042325952609
87.75,9,2,0.5465441415347527
88,96,2,0.5481049233243311
88.25,7,0,0.5496901718993286
88.5,138,1,0.5513040218832543
88.75,9,0,0.5529511485862599
89,47,2,0.5546367680069579
89.25,11,1,0.5563666368309441
89.5,54,4,0.5581470524322185
89.75,12,3,0.5599848528721054
90,466,5,0.561887416899765
90.25,20,2,0.5638626639524205
90.5,18,3,0.5659190541534258
90.75,19,3,0.5680655883159602
91,113,1,0.570311807938765
91.25,20,0,0.5726677952102364
91.5,13,0,0.5751441730050715
91.75,54,1,0.5777521048862582
92,690,3,0.5805032951046769
92.25,6,0,0.5834099885974524
92.5,13,1,0.5864849709913642
92.75,12,0,0.5897415686001182
93,62,0,0.5931936484244602
93.25,2,0,0.5968556181533131
93.5,2,0,0.6007424261636061
93.75,0,0,0.604869561519422
94,61,0,0.6092530539726795
94.25,4,0,0.6139094739631901
94.5,32,0,0.6188559326184873
94.75,51,0,0.624110081753372
95,216,0,0
95.25,1,0,0
95.5,988,1,0
95.75,26,0,0
96,91,0,0
