XRP (XRP|XRP) XRPQ6 (23.03 DTE) vs 1.0645 (-0.02) - Intraday Volume
Put: 0 Call: 0 Vol: 41.94 Vol Chg: -0.67 Future Chg: -0.02
Strike,Call,Put,Vol Settle
0.8,0,0,0.678580245420515
0.9,0,0,0.534674705600584
0.91,0,0,0.5232954379957633
0.92,0,0,0.5124932741007426
0.93,0,0,0.5022728916698327
0.94,0,0,0.49263813106670185
0.95,0,0,0.4835919952643608
0.96,0,0,0.47513664984516923
0.97,0,0,0.4672734230008331
0.98,0,0,0.46000280553240547
0.99,0,0,0.45332445085028716
1,0,0,0.4472371749742212
1.01,0,0,0.44173895653330186
1.02,0,0,0.4368269367659767
1.03,0,0,0.43249741952002596
1.04,0,0,0.42874587125258046
1.05,0,0,0.42556692103013116
1.06,0,0,0.42295436052849844
1.07,0,0,0.42090114403286094
1.08,0,0,0.4193993884377374
1.09,0,0,0.4184403732470008
1.1,0,0,0.4180145405738642
1.11,0,0,0.41811149514088974
1.12,0,0,0.4187200042799857
1.13,0,0,0.419827997932412
1.14,0,0,0.4214225686487678
1.15,0,0,0.42348997158901014
1.16,0,0,0.4260156245224289
1.17,0,0,0.4289841078276737
1.18,0,0,0.4323791644927253
1.19,0,0,0.4361837001149347
1.2,0,0,0.4403797829009779
1.21,0,0,0.4449486436668888
1.22,0,0,0.44987067583804574
1.23,0,0,0.45512543544917605
1.24,0,0,0.4606916411443489
1.25,0,0,0.46654717417698954
1.26,0,0,0.4726690784098526
1.27,0,0,0.4790335603150595
1.28,0,0,0.485615988974077
1.29,0,0,0.4923908960776959
1.3,0,0,0.49933197592607925
1.31,0,0,0.5064120854287282
1.32,0,0,0.5136032441044822
1.33,0,0,0.5208766340815458
1.34,0,0,0.5282026000974547
1.35,0,0,0.5355506494990951
1.36,0,0,0.542889452242715
1.37,0,0,0.5501868408938861
1.38,0,0,0.5574098106275276
1.39,0,0,0.5645245192279287
1.4,0,0,0.5714962870887188
